Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-114.324814	2.9171972	-105.45994	-122.43611	84.21739	0.27593163	0.014619274	0.31198588	0.23625365	4000	0.0058532916	5345.09	-3.7252903e-07	-0.57873535	3.6770136	2.3648143e-07	2.0037996768951416
1	-113.21334	3.365208	-106.14279	-122.04487	77.93617	0.27282307	0.0147070065	0.31121716	0.23117109	8000	-0.043378722	5236.596	-5.9604645e-07	-0.59375	3.679174	3.2082198e-07	3.4727277755737305
2	-112.675934	3.7845738	-106.445496	-124.03717	89.87805	0.26589262	0.014991624	0.2990183	0.227513	12000	-0.011280078	4710.0166	-7.292256e-07	-0.5673828	3.6286469	1.6346276e-06	4.9222941398620605
3	-113.13684	5.749256	-85.355705	-122.19356	104.02702	0.26516858	0.014310997	0.30014458	0.22084957	16000	0.04144928	4134.786	-9.685755e-07	-0.45633507	3.696796	4.2632223e-07	6.36887788772583
4	-113.76708	3.6637316	-106.017845	-126.53019	79.32653	0.26005754	0.01462654	0.29704309	0.21953504	20000	-0.008621883	5429.556	-3.1292439e-07	-0.7727051	3.7411625	2.3826956e-07	7.83576226234436
5	-113.17796	3.2379224	-106.65172	-118.38442	78.38298	0.25228766	0.015331266	0.28945303	0.21307805	24000	-0.004543677	5286.867	-6.277114e-07	-0.7803955	3.6628919	5.730391e-07	9.294791460037231
6	-113.17652	3.290959	-106.04183	-120.68486	90.181816	0.24691004	0.015117114	0.28396136	0.20738469	28000	-0.0047627687	3809.0037	-1.5869737e-06	-0.4911499	3.6640844	-5.4693226e-07	10.760887622833252
7	-113.35904	3.104347	-106.57297	-118.56458	76.4	0.24379526	0.014894199	0.2792038	0.20165393	32000	-0.031696625	5593.717	-2.130866e-06	-0.9361572	3.6858823	1.8191338e-07	12.233176469802856
8	-112.48106	2.8313663	-106.36274	-117.402626	75.37255	0.23605032	0.015523079	0.27915177	0.19576834	36000	-0.002780825	5471.2046	-1.6838312e-06	-0.9349365	3.6721616	1.0195373e-07	13.705687284469604
9	-114.1046	3.0919678	-105.3817	-121.087944	77.97872	0.23096514	0.0147394985	0.27415916	0.18949611	40000	-0.021102428	5329.9946	-4.1909516e-08	-0.9128418	3.6590812	-5.197525e-08	15.40816044807434
