Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-62.0635	2.7101007	-58.291096	-65.93477	1000.0	-0.055624787	0.20450409	0.9722064	-0.9481802	4000	-0.0247882	30.212105	-3.209524e-05	-8.102522	3.669034	-4.002094e-06	1.5152325630187988
1	-58.2449	3.2867064	-54.367584	-63.325947	1000.0	-0.842344	0.1908445	0.03634482	-1.6688707	8000	-0.05013816	22.93903	-2.0445324e-05	-3.7446089	3.6880646	-7.317066e-06	2.6693432331085205
2	-62.94233	2.4997709	-59.990894	-65.57151	1000.0	-1.2694837	0.19386308	-0.45429188	-2.031545	12000	-0.03332191	19.515919	-4.262477e-05	-2.2725575	3.669963	-1.1507333e-05	3.8353230953216553
3	-60.63874	2.4843197	-56.600636	-63.077408	1000.0	-1.5490245	0.21101479	-0.6251763	-2.249624	16000	0.0061204657	16.9351	-2.7112663e-05	-1.7545795	3.663393	-2.1186497e-07	4.997556686401367
4	-62.406967	3.145484	-57.90038	-66.60089	1000.0	-1.7765868	0.22646959	-0.8994812	-2.49961	20000	-0.06796775	16.726692	-5.153939e-05	-1.6320632	3.6938791	2.4979234e-05	6.187636613845825
5	-75.2697	20.429487	-61.18128	-110.39678	762.75	-2.0226827	0.23410209	-0.33552837	-2.7965202	24000	-0.036909	100.040054	-3.6522746e-05	-2.1552682	3.6737123	3.6150814e-06	7.3741819858551025
6	-72.17535	20.515213	-57.80924	-107.60206	773.25	-2.2338686	0.24365374	-0.9165802	-3.1382158	28000	-0.025236815	115.09432	-4.442036e-05	-1.9692807	3.663235	4.750162e-06	8.554322004318237
7	-61.449734	4.26212	-55.705418	-67.70444	1000.0	-2.4610932	0.25223204	-1.4476461	-3.2190692	32000	-0.057821676	11.218152	-4.7873706e-05	-0.9685414	3.6874893	-1.9398092e-05	9.736609697341919
8	-60.309708	1.964782	-57.901108	-62.47268	1000.0	-2.6425302	0.2496518	-1.6231873	-3.3662963	36000	-0.018144261	9.373859	-3.0260533e-05	-0.8094356	3.6754436	-1.885742e-06	10.91632628440857
9	-72.60998	20.697186	-57.676376	-108.31099	765.25	-2.7604775	0.27057838	-1.5801253	-3.4712584	40000	0.0153310895	97.14554	-1.9915402e-05	-1.3400106	3.6424203	-5.948007e-06	12.240397214889526
