Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-118.97728	4.3881936	-111.03674	-129.69426	87.7381	0.5752894	0.25465745	1.3624418	-0.9239033	4000	-0.015776183	5036.8066	-0.000114234164	-225.88062	3.6690338	-3.4536984e-05	1.5654511451721191
1	-117.9638	5.084726	-109.08469	-130.47583	89.61905	-1.2588938	0.30751312	-0.06307691	-2.7667637	8000	0.0002817735	4654.2876	-8.606166e-05	-105.65814	3.6880817	-6.694795e-06	2.8100368976593018
2	-117.35021	3.7244165	-110.84922	-128.0575	77.84	-2.0824003	0.427142	-0.46479994	-3.6011152	12000	0.035782002	5232.738	-6.350048e-05	-96.8125	3.6700747	-6.7305273e-06	4.039891958236694
3	-117.6344	4.088388	-110.51483	-130.10805	79.416664	-2.840439	0.49282992	-0.96077675	-4.4490347	16000	0.018515468	4870.3623	-6.7364424e-05	-77.02197	3.6636343	7.469148e-06	5.2595789432525635
4	-117.65886	4.340299	-110.81717	-131.11232	88.0	-3.3764539	0.5719327	-1.3100549	-5.1404777	20000	0.051937595	4559.5454	-0.00012167916	-62.625854	3.6941435	-1.8313494e-07	6.460735559463501
5	-118.686455	3.344768	-109.436844	-125.258934	93.17073	-3.7601383	0.6260025	-0.9490441	-5.9331307	24000	-0.012737438	4516.3896	-7.999316e-05	-56.90619	3.6741996	8.44571e-06	7.641782999038696
6	-119.8527	4.7655053	-109.26266	-130.31056	95.75	-4.205929	0.66897035	-1.6442175	-6.37915	28000	-0.053464904	4485.293	-7.748976e-05	-53.7843	3.6637669	3.768769e-05	8.85711145401001
7	-119.20438	3.0006876	-110.90673	-124.89523	91.87805	-4.581693	0.7051174	-2.264124	-6.835477	32000	0.028836418	4483.8086	-2.4320558e-05	-50.290283	3.6879687	-2.0154775e-05	10.042255640029907
8	-117.4051	3.6054828	-110.83876	-126.66906	77.7	-5.182283	0.73706484	-2.3377957	-7.424738	36000	0.015989676	4819.894	-7.069111e-05	-54.828247	3.676082	2.4494111e-05	11.262076616287231
9	-118.23257	4.0094066	-111.491425	-130.2305	90.27907	-5.513584	0.7716476	-2.4324636	-8.012968	40000	0.0073451996	4262.651	-6.2105246e-05	-43.30121	3.6431212	7.105201e-06	12.603735208511353
