Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-116.475815	3.9832644	-109.372856	-128.23212	79.42857	0.064566635	0.29077598	0.77583426	-0.6953771	4000	-0.0060765147	3193.8887	-3.0338764e-05	-72.22797	3.6690338	-6.9935027e-06	1.51572585105896
1	-115.37594	5.983205	-105.81939	-129.12169	85.56	-0.67066634	0.20637397	0.11111072	-1.3976048	8000	0.0042613447	2838.7817	-1.8558465e-05	-29.557114	3.6880999	-4.125267e-06	2.7033262252807617
2	-115.484314	5.1099124	-105.88938	-129.70831	81.53125	-0.9789223	0.2202671	0.001901811	-1.7018783	12000	-0.010077596	3495.2556	-2.090633e-05	-32.97229	3.6701007	-7.0562064e-06	3.8964366912841797
3	-115.745285	5.2612767	-108.56111	-129.23457	81.969696	-1.3317955	0.23931059	-0.34901735	-2.1343088	16000	0.0076508373	3607.6414	-1.4662743e-05	-28.612244	3.6635742	-1.0886783e-06	5.092527866363525
4	-112.34745	8.493142	-82.95557	-125.03521	123.89474	-1.5609057	0.24348134	-0.47091055	-2.3323293	20000	-0.011348784	1845.5668	-1.7847866e-05	-7.7533474	3.6940632	2.2692977e-06	6.281330347061157
5	-114.25928	4.301523	-107.16448	-122.7561	76.0	-1.6981884	0.2647647	-0.1802513	-2.5334494	24000	-0.028816283	2897.2524	-2.042763e-05	-15.672546	3.6740012	-1.8766523e-06	7.480437994003296
6	-116.10073	3.3272886	-110.01655	-124.29717	73.945946	-1.8871087	0.31989846	-0.4265015	-2.6999903	28000	-0.06294212	3882.48	-5.3927302e-05	-23.946411	3.6635382	5.0750077e-06	8.684175491333008
7	-113.24467	12.587451	-71.95676	-130.4896	145.21428	-1.97242	0.31923983	-0.44296813	-2.9367197	32000	-0.032739997	1393.2573	-2.0369887e-05	-3.7654572	3.6877227	-3.2910702e-06	9.861344575881958
8	-121.427734	15.619752	-108.076614	-171.59761	139.1	-2.0951412	0.31556514	-0.66317844	-2.960085	36000	-0.013268486	2205.5942	-2.6836991e-05	-8.073914	3.6757233	4.5004786e-06	11.045357465744019
9	-111.474464	14.072665	-75.98167	-125.0721	198.17647	-2.201558	0.31362048	-0.8061834	-3.1228836	40000	-0.023498505	1684.6184	-1.3440847e-05	-5.044815	3.6427088	4.7639605e-06	12.408421516418457
