Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-101.19572	12.859993	-84.26592	-114.064476	433.4	-0.07323183	0.2764818	1.1751118	-1.1115271	4000	-0.0033314899	324.09277	-0.0022703633	-78.96507	3.6690338	0.0003700438	1.5786447525024414
1	-91.80307	17.141724	-80.12423	-121.35948	768.75	-4.90875	0.5227906	-2.1947265	-7.28092	8000	9.462237e-05	115.91082	-0.00065343827	-17.463396	3.6875117	0.0004608287	2.7555992603302
2	-107.71305	43.22786	-81.45093	-182.56978	968.0	-7.822917	0.8144349	-3.771881	-11.958853	12000	-0.0048078	116.49874	-0.0005725771	-6.5440083	3.669348	0.00018515899	3.9263205528259277
3	-106.124535	44.22691	-75.99139	-182.48164	966.25	-10.098334	0.6981135	-6.715093	-13.523061	16000	-0.011390999	106.8043	-0.00070319325	-0.75707066	3.6626682	8.20078e-05	5.103764772415161
4	-121.92586	31.021923	-83.1785	-169.65732	466.75	-10.483142	0.7696293	-8.024003	-14.410978	20000	0.0043018386	266.52435	-0.00053987093	-16.12745	3.692934	0.0005059127	6.29529881477356
5	-100.24096	17.717056	-77.59615	-120.01533	458.0	-13.04171	1.2516	-7.346696	-20.279387	24000	-0.013880119	252.36386	8.992106e-05	-18.932602	3.6727915	-3.0525895e-05	7.472378969192505
6	-111.19861	10.013223	-76.19314	-120.59632	119.75	-13.933242	2.918441	-6.9203153	-22.844364	28000	-0.022551209	890.4747	-0.00014311075	-162.56947	3.662238	-6.6129025e-05	8.644903421401978
7	-123.954124	16.325462	-112.26923	-174.79578	125.666664	-19.245087	4.767379	-8.218694	-35.37735	32000	-0.04360977	693.03564	-0.00013890024	-81.41501	3.6863253	-5.3874013e-05	9.824564218521118
8	-109.851715	11.039914	-78.50181	-123.866295	159.90909	-22.063972	6.1581407	-1.998213	-45.136703	36000	-0.02594309	472.6375	-0.00013077818	-67.59915	3.67414	0.00014256677	11.03002142906189
9	-111.09833	14.33063	-77.623856	-136.08086	213.42857	-21.180794	9.009451	-3.5534494	-47.464783	40000	-0.0112553835	472.0959	-0.00019469857	-108.95558	3.6409254	3.3319087e-05	12.529237270355225
