Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-60.668983	3.862088	-54.825573	-64.85158	1000.0	-0.04693016	0.21106184	0.9719489	-0.93200785	4000	-0.025613464	28.987522	-0.0012310594	-24.026451	3.669034	-7.101908e-05	1.5343449115753174
1	-57.4712	1.5757785	-55.243946	-59.129005	1000.0	-3.680768	0.32097915	-2.1700127	-4.4204197	8000	-0.04476445	4.57218	-0.00036152266	-3.4164705	3.6875117	-7.93418e-05	2.6919803619384766
2	-61.581963	2.3312304	-59.14629	-64.638855	1000.0	-5.386131	0.31570417	-4.0100513	-5.9911156	12000	-0.018463712	1.6404992	-0.00047050975	-0.3110661	3.6687	-0.00018437675	3.8639092445373535
3	-60.06893	2.8241491	-55.459595	-62.969604	1000.0	-5.785772	0.35651264	-4.35537	-6.886464	16000	-0.008259285	1.0096896	-0.0003292784	-0.07100257	3.6616623	4.784473e-05	5.033172130584717
4	-60.30274	2.9211335	-56.861435	-64.89761	1000.0	-5.7390685	0.4332841	-4.350607	-6.666471	20000	-0.01811926	0.84857154	-0.0001548808	-0.05344084	3.6918008	8.582017e-05	6.185851573944092
5	-63.674786	2.6960418	-59.11996	-66.15251	1000.0	-5.8973465	0.3717659	-4.3602114	-7.1435366	24000	-0.04453878	1.8459935	-0.00024602748	-0.16947314	3.671476	-4.9293994e-05	7.3435893058776855
6	-61.748184	3.133593	-59.506016	-67.0963	1000.0	-6.0098643	0.44878408	-4.300718	-8.070676	28000	-0.010703519	1.420819	-0.00037176162	-0.14319696	3.6607084	-5.2327843e-05	8.517296075820923
7	-60.35059	2.1959972	-57.363007	-63.50106	1000.0	-5.8301406	0.45483524	-3.9513075	-7.689005	32000	-0.058327347	0.72614723	-0.00029482692	-0.023735002	3.6846995	-0.00011799979	9.696098566055298
8	-59.641827	1.0999458	-58.226456	-61.255116	1000.0	-5.7402105	0.47425628	-3.9581323	-7.804915	36000	-0.03842064	0.9483856	-0.00010916032	-0.109182954	3.6723664	6.94206e-05	10.875371932983398
9	-71.73361	20.818945	-58.32113	-107.761894	765.5	-5.751808	0.5084762	-3.9030285	-8.233412	40000	0.007803336	80.997635	-1.6793609e-05	-4.629272	3.6389647	5.335453e-05	12.316951274871826
