Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-74.78687	1.2585001	-73.24786	-76.20723	1000.0	0.07955297	0.062274657	0.46678406	-0.103100345	4000	-0.015945576	46.81826	-0.0008948259	-25.90907	3.6690338	7.156425e-05	1.5650815963745117
1	-74.95204	2.7116985	-71.815025	-79.27854	1000.0	-2.3010194	0.109708354	-1.6879189	-2.6173935	8000	0.043175623	21.471224	-0.0006444254	-13.248591	3.6881118	-6.164807e-05	2.756972312927246
2	-73.22568	3.0568695	-68.49469	-76.95846	1000.0	-4.158918	0.1332048	-3.4251182	-4.6456585	12000	-0.016612351	8.188735	-0.0005227439	-5.00579	3.6702828	-0.0001937641	3.932373285293579
3	-74.81095	1.7085383	-72.67445	-76.584656	1000.0	-5.353252	0.13304065	-4.6052365	-5.823083	16000	-0.008969054	3.368793	-0.000832133	-2.3178804	3.6637194	0.000105532476	5.112355709075928
4	-72.32645	2.7571702	-67.72878	-74.49591	1000.0	-6.34872	0.15783384	-5.4734926	-6.825633	20000	-0.039101243	1.4963549	-0.00039859116	-0.42892674	3.6941652	0.00018391795	6.268134117126465
5	-70.993484	1.0636845	-69.44055	-72.095764	1000.0	-6.638918	0.14555036	-5.7536654	-7.067942	24000	-0.0030511357	0.76724637	-0.00047815964	-0.12816994	3.6739416	8.755444e-06	7.4324421882629395
6	-74.72135	1.3969767	-72.78364	-76.2449	1000.0	-6.882878	0.123317935	-6.0867953	-7.250395	28000	-0.005261816	0.76831883	-0.00059986115	-0.056043144	3.6633801	-0.00013251793	8.633996486663818
7	-73.084885	2.8165011	-69.10827	-76.413704	1000.0	-7.031234	0.14380383	-6.229628	-7.4465404	32000	0.0042072684	0.31217644	-0.00064990483	-0.0068450794	3.6875236	-0.00021637592	9.822532892227173
8	-74.72073	0.44815943	-74.10105	-75.18886	1000.0	-7.1347604	0.13421263	-6.2999873	-7.548968	36000	-0.013180263	0.39712593	-0.00017852616	-0.006342549	3.6754432	4.412637e-05	10.98231053352356
9	-73.409454	2.3235695	-69.715256	-76.04529	1000.0	-7.145958	0.13979927	-5.569392	-7.6373596	40000	-0.038221028	0.38108516	-0.00013518706	-0.0026296824	3.6422815	0.00017893937	12.455175638198853
