Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-90.95171	0.74981743	-90.0701	-92.04493	1000.0	0.049333297	0.10557261	0.8461125	-0.4618878	4000	-0.018073728	67.95607	-0.0014487267	-53.081642	3.669034	0.00024248427	1.586740255355835
1	-90.05043	0.8104801	-88.75795	-90.98264	1000.0	-4.7009406	0.27823624	-2.845959	-5.825599	8000	0.014176883	14.749733	-0.0006371839	-13.58957	3.6881118	8.528998e-05	2.770850658416748
2	-88.86795	1.6513437	-86.06354	-90.326195	1000.0	-7.952718	0.43811306	-5.191217	-9.52443	12000	0.0059981793	0.91835827	-0.00073676324	-0.4323417	3.6701667	-0.0003861608	3.993105411529541
3	-89.028564	1.8986373	-86.465385	-91.475845	1000.0	-8.479209	0.40258557	-5.6679945	-10.223834	16000	0.06111315	0.45056462	-0.0010662451	-0.06988273	3.6637151	0.00011012313	5.1801369190216064
4	-88.900696	2.5708103	-84.64941	-90.964745	1000.0	-8.639151	0.36427477	-5.8371115	-10.274318	20000	-0.0076533556	0.42892855	-8.207932e-05	-0.021786839	3.6945052	0.00045766777	6.369994401931763
5	-89.37657	0.6557794	-88.63903	-90.39568	1000.0	-8.71096	0.35565495	-5.8843093	-10.313344	24000	0.0018408187	0.17824328	-0.0008887295	-0.014869783	3.6746802	2.8573453e-05	7.591233968734741
6	-89.54497	0.8517577	-88.67373	-90.8688	1000.0	-8.735232	0.33604878	-5.9393163	-10.28907	28000	0.006851103	0.5242824	-0.0010176329	-0.034295257	3.664454	-8.572251e-05	8.789195775985718
7	-88.1006	2.2241206	-84.464645	-90.472626	1000.0	-8.751557	0.39397383	-5.9265966	-10.654911	32000	0.014498293	0.463021	-0.0005864352	-0.046650905	3.688937	-0.0002184754	9.995872735977173
8	-89.134895	1.573033	-86.47351	-90.5237	1000.0	-8.638901	0.38857237	-5.808505	-10.813312	36000	0.025432244	0.43328533	-0.00042859185	-0.013518132	3.6771722	9.9495315e-05	11.196568965911865
9	-89.12579	1.7953503	-86.76096	-91.58513	1000.0	-8.513211	0.39639857	-5.8216867	-11.204813	40000	0.02897732	0.25758016	-0.0008133794	-0.04029707	3.6443977	0.00037587393	12.6771981716156
