Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-90.97016	0.4147921	-90.5198	-91.63914	1000.0	0.058403425	0.10650801	0.8462851	-0.44155717	4000	-0.012743855	67.969406	-0.0012994306	-63.79091	3.669034	2.9109775e-05	1.7540974617004395
1	-90.23021	0.6730996	-89.617325	-91.305176	1000.0	-7.219956	0.40004006	-4.8133984	-8.865944	8000	0.013294585	2.515842	-0.0016337344	-2.1660514	3.6881115	0.0007326221	3.1411995887756348
2	-89.6423	2.5600247	-85.32438	-92.02418	1000.0	-8.719186	0.39209464	-5.914477	-10.787134	12000	0.021536842	0.77931404	-0.0015004203	-0.04456711	3.6698327	-0.00040930725	4.521697044372559
3	-88.663086	1.5442717	-86.290985	-90.4085	1000.0	-8.476334	0.35647106	-5.888999	-10.348585	16000	0.040252715	0.40407085	-0.0031912634	-0.03198956	3.663457	0.00079254655	5.908621788024902
4	-87.68181	1.760528	-85.19111	-90.16077	1000.0	-8.758949	0.33409303	-6.0574703	-10.380994	20000	0.017324805	0.5376102	-0.00143715	-0.04302683	3.6944585	0.0015336471	7.266119003295898
5	-87.940384	0.5878287	-87.27807	-88.81528	1000.0	-8.467125	0.35058352	-5.9422317	-10.342354	24000	0.0022909716	0.17515898	-0.0034721084	-0.034947462	3.6750712	0.00060594437	8.639961242675781
6	-87.78398	1.2022153	-86.695145	-89.73395	1000.0	-8.793623	0.3581182	-6.090837	-10.228268	28000	0.010006506	0.61024445	-0.0023874952	-0.08815207	3.6652822	0.0003381663	9.874355554580688
7	-85.8339	2.6262848	-81.662994	-88.93498	1000.0	-8.495086	0.35318545	-5.9188685	-10.333287	32000	0.024462774	0.5525445	-0.001982415	-0.022032619	3.6901782	-0.0001642954	11.055546998977661
8	-87.23076	1.4147022	-85.01953	-88.80686	1000.0	-8.345099	0.32941014	-5.8728333	-10.498164	36000	-0.014254577	0.6489493	-0.0011926782	-0.03121781	3.6788874	0.0017978637	12.26204538345337
9	-85.49222	2.2559788	-82.50579	-88.72346	1000.0	-8.295147	0.3768531	-5.9415545	-10.930424	40000	0.0028021187	0.22975479	-0.0025290325	-0.016406784	3.6463156	0.0016852773	13.773986339569092
