Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-113.55187	4.0642004	-105.87842	-126.30472	86.11628	0.2749681	0.01485762	0.3134423	0.23375914	4000	-0.030365713	4940.9106	-0.0017027631	-1075.6799	3.6770139	0.0025537573	2.014235019683838
1	-113.18674	2.988131	-106.62155	-117.42505	79.23913	-8.547859	0.02160969	-8.417762	-8.593063	8000	-0.00059075654	4020.513	-0.0012487974	-395.9688	3.678574	0.0017606572	3.4620823860168457
2	-114.2504	2.9112325	-107.47176	-119.96397	87.25	-12.051142	0.013874944	-11.966767	-12.080814	12000	0.010081157	3594.9263	-0.0011283346	-322.99127	3.627556	0.0016050764	4.919983863830566
3	-114.77564	2.9389706	-107.68023	-119.32676	83.91304	-15.033293	0.010814789	-14.953576	-15.054868	16000	0.010669801	3498.5469	-0.0001161769	-290.30536	3.695488	0.0004997613	6.3789381980896
4	-114.49102	2.9043498	-107.47824	-121.12715	81.46809	-17.706692	0.009454054	-17.647581	-17.723963	20000	-0.019583851	3225.708	-0.0014291145	-231.35663	3.739874	0.0028319964	7.8453779220581055
5	-114.900246	3.1320846	-107.2367	-120.41946	79.520836	-19.939013	0.006741355	-19.89898	-19.95196	24000	0.018365137	3060.9482	-0.00050973427	-197.13727	3.6612484	0.0013630157	9.28325629234314
6	-113.9264	3.528704	-106.531525	-119.300514	83.347824	-21.884678	0.00558042	-21.850752	-21.894365	28000	0.008106668	2708.163	-0.00021720305	-160.50299	3.6623857	0.0015023648	10.716772079467773
7	-114.62472	2.6342943	-107.95612	-119.8516	78.479164	-23.587582	0.0047126096	-23.563467	-23.595587	32000	-0.029450804	2682.0361	-0.0024677748	-150.15582	3.6842084	0.00057529117	12.171712160110474
8	-114.37053	3.5871158	-107.3583	-123.10186	82.195656	-25.191301	0.0040942607	-25.165123	-25.197695	36000	0.009706393	2427.0896	-0.00015632808	-130.47083	3.6704197	0.0018333405	13.622375011444092
9	-116.03518	3.4737353	-106.055244	-125.11785	86.26667	-26.665058	0.0035368411	-26.642408	-26.671223	40000	-0.03052625	2327.4585	-0.00020948099	-122.72058	3.6573956	0.00039182595	15.332460403442383
