Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-112.039	14.767322	-74.76047	-127.27867	208.625	-0.90894496	0.243781	0.20719384	-1.356977	4000	-0.008686155	799.244	-0.001227513	-180.78159	3.647492	0.00055791775	1.6415455341339111
1	-118.57962	23.344673	-69.107155	-161.49399	285.25	-6.751294	1.3155477	-3.9280498	-11.334247	8000	0.005481422	721.2064	-0.00032891333	-174.8149	3.716465	5.3840395e-05	2.8891303539276123
2	-103.84973	19.974798	-65.00731	-120.752754	325.5	-15.422289	3.3168705	-8.736495	-27.362942	12000	0.024260461	403.70474	-0.0004856363	-56.756638	3.6373467	0.00011754292	4.111207962036133
3	-109.24764	16.669174	-70.99467	-122.86398	223.46153	-17.777515	6.210532	-10.533505	-32.925167	16000	-0.0063114166	619.81085	-0.0012398213	-125.64978	3.6274147	0.0001363534	5.342186450958252
4	-114.52693	13.463483	-69.82837	-126.57536	168.53847	-23.190495	10.9025	-10.955162	-50.333954	20000	-0.0048657656	504.2999	-0.00086126477	-90.56828	3.6674278	0.00010693466	6.550663948059082
5	-107.38987	17.17657	-68.88669	-119.74748	254.54546	-22.722086	14.171925	-10.303818	-62.32355	24000	-0.0082241595	308.10986	-0.00028958172	-53.346466	3.6920455	0.00034688384	7.765753269195557
6	-113.44347	13.464204	-72.72226	-121.90938	179.42857	-27.741192	18.720785	-6.681497	-68.45683	28000	0.0106886625	497.55728	-9.0673566e-05	-100.849686	3.6523259	3.3377044e-05	9.004674434661865
7	-115.00794	10.943887	-73.57016	-122.60508	145.47058	-30.638035	22.672499	-4.6708293	-80.35392	32000	-0.019669563	320.23816	-0.00042207912	-25.230154	3.7119384	0.00030359495	10.217042207717896
8	-117.08929	6.2191863	-109.99381	-130.91722	98.23529	-34.043697	25.614653	-3.5521467	-96.81647	36000	-0.029313803	471.78687	-0.00052301213	-36.60326	3.7007594	0.00020850867	11.432771682739258
9	-114.47809	13.841446	-70.032425	-124.95266	167.75	-20.753023	21.486074	-2.9550593	-88.25127	40000	-0.0292681	249.9007	-0.0009942595	-15.732436	3.6557674	1.2166227e-05	12.970149993896484
