Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-119.84664	5.895017	-108.13541	-141.47952	103.47369	0.58118355	0.24261864	1.3424915	-0.7235843	4000	-0.017902747	4664.102	-0.002180405	-1072.7131	3.669034	0.0005553368	1.6185529232025146
1	-117.336	4.341392	-109.354294	-129.12308	91.439026	-9.02788	1.002466	-4.0131783	-11.769561	8000	-0.01660788	3576.6191	-0.0012799911	-1213.5315	3.6875117	0.0014676527	2.8345024585723877
2	-117.64371	3.7188833	-111.84386	-128.1301	73.68627	-21.971926	2.3071828	-11.727438	-28.24728	12000	-0.016665101	2894.5203	-0.0006999895	-1334.5524	3.6689377	0.00013203183	4.090441465377808
3	-117.93152	4.0238795	-110.41261	-126.17909	75.19231	-39.067524	4.1842465	-16.990866	-48.95643	16000	0.014332391	1560.4088	-0.0015291274	-823.8384	3.6618614	0.00095172017	5.315732955932617
4	-118.108536	5.303729	-109.68108	-130.35078	90.166664	-54.643	6.0444403	-25.84363	-71.777916	20000	-0.011898845	735.3439	-0.0005488966	-114.27915	3.6920571	0.0011732163	6.545886516571045
5	-119.29491	8.454866	-110.39715	-160.25592	111.20588	-60.70228	6.869977	-30.358622	-77.18589	24000	0.0040981025	654.0569	-0.0005815923	-23.921051	3.6717505	0.00021218364	7.765775918960571
6	-119.85442	3.9486024	-114.33901	-134.75589	92.07317	-60.2304	5.638889	-33.79904	-76.7812	28000	-0.00948593	622.3994	-0.0010708217	-70.253204	3.6611195	0.00041268184	8.984086513519287
7	-121.189926	4.7969227	-111.92126	-134.05322	110.617645	-64.38591	4.997153	-41.40524	-79.013756	32000	-0.022322811	614.08246	0.00029164553	-29.973915	3.6852102	0.00036694462	10.196102857589722
8	-119.20096	6.93643	-110.354645	-155.47627	86.65854	-61.255054	6.430195	-34.206936	-75.60507	36000	0.01763323	611.1205	-0.00021400116	-28.40989	3.673018	0.00054452056	11.43209719657898
9	-118.67333	3.4783804	-110.358864	-125.737045	93.1875	-63.087708	6.9630365	-32.431995	-77.29982	40000	0.007064104	712.56146	-0.00025146583	-60.587135	3.6398718	5.9757105e-05	12.962969779968262
