Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-116.962776	4.619917	-108.31017	-125.86164	85.818184	0.053687528	0.2812394	0.87270355	-0.6892582	4000	-0.011137113	2630.79	-0.0009436272	-274.83395	3.6690338	4.7049372e-05	1.6085662841796875
1	-114.23739	7.8786917	-79.42894	-123.85608	104.433334	-3.4481802	0.46523628	-1.6799248	-4.501007	8000	-0.014968067	2864.3506	-0.00050774217	-276.99463	3.6881118	0.00043935183	2.822918176651001
2	-113.98305	7.813589	-79.21803	-125.22719	108.451614	-6.9911885	0.72369546	-3.5524735	-8.342083	12000	-0.011182874	2716.7817	-0.000510294	-252.76349	3.669624	6.0879436e-05	3.9935882091522217
3	-115.90441	4.576914	-108.450935	-129.27907	81.434784	-9.99534	0.9344422	-6.3382006	-11.714222	16000	0.0026126206	1934.906	-0.00079348125	-137.6864	3.662608	0.0001995129	5.191851854324341
4	-115.0532	4.440749	-108.63088	-126.50952	82.4	-12.856482	0.8790629	-8.894456	-14.280082	20000	-0.022402152	2690.5508	-0.0003950894	-273.24722	3.6927385	0.00031132656	6.389819622039795
5	-115.62921	4.68194	-105.24464	-126.85924	85.78788	-16.296171	0.9502312	-11.058186	-17.787334	24000	0.017678693	2305.4775	-0.00039197505	-214.43222	3.6722598	-8.372902e-05	7.577839136123657
6	-119.766754	13.852915	-106.267746	-182.27832	119.23077	-18.943003	1.1373812	-14.046432	-20.837395	28000	-0.024658978	1744.7794	-0.00053822994	-118.83048	3.6616344	1.669451e-05	8.777029037475586
7	-109.5555	15.521577	-68.59638	-124.80599	211.26666	-20.869902	1.1413087	-15.317787	-23.169067	32000	-0.026159167	858.06067	-0.00035970658	-10.415737	3.6856241	6.93562e-05	9.962127208709717
8	-112.922806	11.604898	-73.999725	-124.11198	149.0	-21.41652	1.2179934	-17.261906	-24.122997	36000	0.026232257	917.30646	-0.0004618764	-12.846481	3.673307	0.0006472649	11.13713812828064
9	-119.84192	25.086306	-75.12703	-173.84883	300.5	-21.445007	1.254247	-15.847834	-24.604803	40000	0.035603866	555.2422	-0.00027538557	-6.89357	3.6401489	-2.1568383e-05	12.6167573928833
