Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-47.848366	2.5006065	-44.898373	-51.788563	1000.0	-0.2688495	0.1733125	0.31663838	-1.032177	4000	-0.02517339	16.602	-0.0054262653	-15.497643	3.652707	0.004183944	2.313174247741699
1	-47.486324	3.7337012	-42.254387	-52.800125	1000.0	-4.205137	0.30033547	-3.3648043	-6.28126	8000	-0.04585892	1.387466	-0.004051253	-0.6597806	3.6422253	0.005104298	3.9615018367767334
2	-47.50571	1.3285353	-46.047962	-49.027584	1000.0	-4.7234893	0.3728212	-3.2203639	-6.965201	12000	-0.0416704	0.30838454	-0.0025834162	-0.11123238	3.687767	0.0031390532	5.600175619125366
3	-46.013374	3.591067	-39.809784	-48.464283	1000.0	-4.2589774	0.42658687	-1.4757308	-6.8435984	16000	-0.06791037	0.8809404	-0.002542995	-0.63958555	3.6953948	0.0027263074	7.23611855506897
4	-48.31555	0.9215291	-47.413967	-49.761852	1000.0	-4.5643215	0.7943097	1.06249	-6.233352	20000	-0.0035859048	1.1760374	-0.0020857956	-0.9805084	3.7019405	0.0025270316	8.863592147827148
5	-45.674976	3.491069	-39.874184	-49.168575	1000.0	-4.6645684	0.6339878	-1.6410228	-8.721315	24000	-0.006531762	0.58256406	-0.0020994283	-0.29675314	3.6264129	0.0015576439	10.47615098953247
6	-84.151375	37.64143	-45.726776	-132.80359	653.75	-4.623629	0.98498434	-0.8601339	-9.475798	28000	-0.03890799	195.83194	-0.0018182695	-162.80309	3.6684794	0.0005087961	12.067258596420288
7	-67.96903	27.47304	-41.53162	-105.2208	651.6	-8.951491	12.443489	6.8431215	-128.60585	32000	-0.0016109645	49.62896	-0.0003976263	-37.460884	3.6722083	0.001325733	13.68325161933899
8	-88.457504	41.83621	-46.02823	-134.65137	934.0	-5.791569	4.920025	0.18972805	-38.050613	36000	0.014585063	181.56775	-0.0005859807	-147.3387	3.6640818	-6.077235e-05	15.298516273498535
9	-46.81588	1.5585504	-45.310062	-49.375378	1000.0	-6.4066043	4.469048	7.478916	-34.907806	40000	-0.01779239	20.784468	-0.00017934665	-18.407774	3.6513753	-5.0067407e-05	17.18667244911194
