Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-109.14369	18.835024	-79.80463	-144.56361	344.875	-0.056207515	0.27846563	1.0811552	-0.91805726	4000	0.011086196	733.22754	-0.0019289851	-156.2148	3.6690338	-3.8136568e-06	1.6056320667266846
1	-100.16715	19.226627	-80.699005	-124.76379	639.0	-5.314824	0.7137247	-2.5516195	-8.865753	8000	0.010987043	232.44997	-0.0011010617	-39.508774	3.6887136	0.0007468563	2.80375075340271
2	-116.8135	42.115875	-82.85711	-186.22952	747.0	-8.792609	1.3518695	-4.393846	-15.14677	12000	0.02193278	178.48088	-0.00018371642	-8.547303	3.6714556	-0.00012613181	4.0041656494140625
3	-104.94858	43.598667	-75.700066	-180.32332	960.25	-10.842548	1.3470469	-4.7636566	-18.968477	16000	0.01678577	109.925514	-0.00082530826	-1.1408513	3.665686	9.989034e-05	5.19131064414978
4	-115.5751	5.1350555	-108.71125	-132.74388	63.53846	-11.8548565	2.072123	-6.2505965	-18.298574	20000	-0.067717455	1786.9353	-0.0003645057	-852.15753	3.6969123	0.00077799126	6.3859522342681885
5	-116.1323	4.781488	-108.189835	-125.24157	66.36842	-30.93152	8.209866	-10.025204	-53.38508	24000	-0.019568965	703.54474	-0.0005014241	-211.16605	3.6768343	9.131923e-05	7.586625099182129
6	-106.60232	12.339775	-85.27647	-117.1571	302.75	-25.212454	10.357153	-7.102248	-66.62937	28000	-0.06732652	320.0257	-0.00010384619	-131.32799	3.6662908	-0.00014562682	8.77484130859375
7	-111.89542	10.673932	-82.63238	-122.88774	177.77777	-21.270239	16.42937	3.700169	-62.279564	32000	-0.014358833	451.2727	-0.00040935725	-87.96705	3.690129	0.00010316413	9.98313045501709
8	-115.9517	5.192152	-109.014336	-133.99374	63.52	-29.464289	21.285547	19.394352	-75.56472	36000	0.025130332	533.0297	-0.00036741048	-100.55003	3.6777143	0.00025406637	11.207791566848755
9	-113.9301	38.69452	-72.69005	-184.32167	609.2	-17.459564	15.260777	3.1529813	-87.72465	40000	0.0131124705	250.84415	-0.00061635114	-39.7228	3.6444216	-6.688845e-05	12.704710960388184
