Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-61.58205	2.3726408	-57.6123	-63.84994	1000.0	-0.07888668	0.22153932	0.97384554	-0.878871	4000	-0.005813509	29.174362	-0.00089821685	-24.96468	3.6690338	-2.566367e-05	1.5848743915557861
1	-57.14906	2.2773957	-54.196293	-59.56979	1000.0	-4.085859	0.33624363	-2.6151867	-5.044156	8000	-0.053983297	3.1927633	-0.00055565685	-2.0664878	3.6881137	0.00014427802	2.7683544158935547
2	-61.61303	2.354253	-57.869316	-64.04515	1000.0	-5.52908	0.30973575	-4.2055726	-6.217016	12000	-0.0326168	1.3105216	-0.00067896955	-0.22956856	3.6694477	-0.00014501261	3.9407272338867188
3	-60.364597	2.5992625	-55.877438	-62.03775	1000.0	-5.7552357	0.35143042	-4.236399	-6.8434486	16000	0.003550008	0.9301929	-0.00063553546	-0.097008996	3.6623793	3.0899319e-06	5.088069915771484
4	-61.819153	3.2129202	-58.19366	-66.472404	1000.0	-5.629455	0.5962249	-4.000776	-7.0050435	20000	-0.017412111	1.4900339	-0.00047597662	-0.22135104	3.6924667	0.00018803644	6.244817495346069
5	-61.974495	1.0452597	-60.559105	-63.43584	1000.0	-6.0585284	0.3953265	-4.7388554	-7.4813185	24000	-0.050282534	1.6614232	-0.0002793558	-0.27439946	3.6719456	-9.345567e-06	7.412272214889526
6	-61.21872	2.1358488	-58.52581	-63.638412	1000.0	-5.838993	0.472784	-3.8346417	-8.24779	28000	-0.023962677	0.99635327	-0.0005631745	-0.1802777	3.660893	-2.3173117e-05	8.595641613006592
7	-59.43878	1.4666648	-57.502014	-61.629803	1000.0	-5.815398	0.5100794	-3.8096147	-7.572891	32000	-0.05054602	0.34350854	-0.00029704906	-0.034376375	3.684623	-0.00017991893	9.763678312301636
8	-59.48932	0.8931912	-58.057526	-60.45108	1000.0	-5.770388	0.59291637	-3.3255808	-7.591264	36000	-0.03529857	0.47756374	-0.00037802412	-0.054326024	3.6720128	0.0002343317	10.946012020111084
9	-71.78169	21.558208	-59.0152	-109.11699	778.0	-5.9343	0.54266053	-3.3093863	-8.776865	40000	-0.0043143034	97.8315	-1.37761235e-05	-22.689116	3.6383624	7.392138e-05	12.409541845321655
