Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-91.002914	0.45838112	-90.25712	-91.499985	1000.0	0.049982738	0.11072275	0.8465118	-0.44634062	4000	-0.015539596	68.051605	-0.0013205027	-55.015408	3.6690338	7.790142e-06	1.628739833831787
1	-90.074814	0.62936497	-89.39881	-91.10076	1000.0	-4.8754888	0.2851622	-3.0904303	-6.072035	8000	0.023996746	13.461271	-0.0008569679	-12.513876	3.6881137	0.00039073895	2.817573308944702
2	-89.33755	1.9159914	-86.12237	-90.836426	1000.0	-8.114635	0.40520826	-5.561706	-9.711267	12000	0.01171837	0.9260362	-0.00066511147	-0.32019833	3.6700542	-0.00032341602	4.040048122406006
3	-89.24528	1.5014006	-87.38007	-91.35299	1000.0	-8.865395	0.3755698	-6.0088596	-10.567321	16000	0.036821455	0.457282	-0.001518704	-0.036648344	3.6636405	0.00028491468	5.251750230789185
4	-89.15927	2.089906	-85.77576	-90.96869	1000.0	-8.686506	0.39122477	-5.904506	-10.294736	20000	-0.016146198	0.42820638	-0.0005497113	-0.023982715	3.6943715	0.00074536976	6.452374696731567
5	-88.63015	0.8661509	-87.36194	-89.79618	1000.0	-8.645108	0.39013132	-5.9731236	-10.359744	24000	-0.017769203	0.19299485	-0.0014046971	-0.019148093	3.6744492	0.00013034856	7.675014019012451
6	-88.70084	1.0919482	-87.87551	-90.57962	1000.0	-8.762235	0.3711258	-6.0425253	-10.228708	28000	0.018298268	0.33311146	-0.0020431075	-0.040831078	3.6640475	-0.000115798	8.87441635131836
7	-87.677124	2.1594648	-84.16737	-89.96078	1000.0	-8.6794195	0.35015115	-5.998547	-10.681297	32000	0.008808248	0.73176503	-0.00081134867	-0.054713547	3.688406	-0.00033379075	10.088208675384521
8	-88.7547	1.7445803	-86.348625	-90.725296	1000.0	-8.649263	0.3709582	-5.947542	-11.082266	36000	-0.023749366	0.7962765	-0.0006694235	-0.07902722	3.6765246	0.00030554272	11.329859018325806
9	-88.145134	1.4657798	-86.52237	-90.28836	1000.0	-8.41407	0.39672583	-5.9396863	-11.744902	40000	0.032074183	0.25991517	-0.0012946352	-0.06162977	3.6435037	0.00079741277	12.82664966583252
