Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-92.94382	26.844696	-64.86057	-125.81031	553.0	0.16612771	0.18735582	0.8243619	-0.5490621	4000	-0.016872205	302.3634	-0.005631432	-125.75774	3.6770136	0.0027424328	2.0576722621917725
1	-95.18456	28.376188	-58.98112	-136.45659	494.0	-8.535987	2.6540985	-4.4924655	-18.994398	8000	-0.044383496	328.1888	-0.002829343	-103.45016	3.6791759	0.0021628824	3.507589340209961
2	-86.62771	23.045694	-63.45899	-119.57347	553.6667	-11.626459	11.577629	-0.88196707	-50.794323	12000	-0.00035703182	141.34836	-0.0043397546	-41.08819	3.6279824	0.0024323107	4.949291944503784
3	-76.61351	23.058691	-56.859573	-113.29586	635.4	-8.061754	8.016283	9.654147	-52.996086	16000	0.018943839	97.270195	-0.0017538816	-25.946314	3.695641	0.0022295343	6.369319200515747
4	-103.58527	16.420835	-66.22143	-119.023346	213.85715	-11.875913	13.773627	11.920711	-67.735825	20000	-0.002897974	173.72406	-0.0019102595	-60.328384	3.7397406	0.0032327161	7.79768443107605
5	-98.69457	20.422539	-61.322803	-117.93671	331.375	-12.8232155	17.79161	5.8157144	-97.81554	24000	-0.007946432	183.28732	-0.002137959	-114.61255	3.6612225	0.0019026123	9.233433246612549
6	-87.17676	22.079933	-58.43834	-113.91495	474.2857	-10.178724	15.281565	18.351011	-90.66435	28000	0.03004364	108.44617	-0.001177039	-19.161674	3.6622112	0.00046438642	10.664283514022827
7	-93.97968	19.768852	-61.099796	-110.55694	387.0	-12.773146	16.175577	6.8743105	-107.195724	32000	0.011966027	54.44771	-0.0014064685	-20.504145	3.6840062	0.0033185836	12.096509456634521
8	-95.7437	22.251495	-64.84101	-116.462814	611.2	-20.990816	25.252844	8.751358	-100.03231	36000	-0.0017063618	731.57697	-0.001237616	-606.7407	3.670305	0.0011152604	13.526753425598145
9	-76.72282	15.078435	-62.60936	-102.14517	765.75	-8.528117	7.1424017	4.457036	-76.37849	40000	-0.007879622	30.584087	-0.0015776958	-15.24733	3.6572318	0.003315996	15.217448949813843
