Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-60.967613	2.8913991	-56.372803	-63.529087	1000.0	-0.012304651	0.21746378	0.948261	-0.8621269	4000	-0.026434977	29.75579	-1.8924475e-05	-26.911667	3.669034	-5.2982574e-07	1.5216777324676514
1	-57.029167	2.3486645	-54.582935	-59.39655	1000.0	-5.147281	0.4857768	-2.8613677	-5.9887543	8000	-0.07065947	1.4453027	-1.4800578e-05	-0.2443936	3.6880798	-2.3312566e-06	2.6797194480895996
2	-62.822346	1.3329378	-61.21797	-64.61452	1000.0	-5.515162	0.53785545	-3.3680286	-6.437587	12000	-0.02914492	1.6550529	-2.4591107e-05	-0.22556227	3.6699877	-4.6440664e-06	3.8360602855682373
3	-60.481857	2.8099012	-56.074043	-63.895332	1000.0	-6.077461	0.50399286	-3.8036945	-7.0962286	16000	0.007607557	1.0697192	-1.1079013e-05	-0.103477985	3.663435	-1.4513435e-06	5.020178318023682
4	-62.740227	3.2099257	-58.75541	-67.71389	1000.0	-5.5683017	0.5823568	-3.952421	-6.556047	20000	-0.0145725645	1.951687	-1.3008714e-05	-0.25293624	3.693894	1.8972755e-06	6.19126558303833
5	-74.22054	19.022327	-61.909847	-107.104324	767.5	-5.9863973	0.42334116	-3.3383694	-7.2269497	24000	0.012833193	84.17651	-1.4267862e-05	-10.127221	3.673827	-1.8932822e-06	7.386880397796631
6	-59.60488	1.5771883	-57.102875	-60.97243	1000.0	-7.229704	1.0416399	-4.1221848	-12.042287	28000	-0.027983062	4.181153	-1.7210841e-05	-2.7603955	3.663422	-6.3461066e-06	8.566002607345581
7	-59.20118	2.0144083	-55.830826	-61.028877	1000.0	-5.6407437	0.6749306	-3.475363	-8.539677	32000	-0.026836619	0.5934913	-1.4439225e-05	-0.11698466	3.6876895	-4.9567225e-06	9.740301847457886
8	-59.78814	0.79890823	-58.429905	-60.43369	1000.0	-5.945699	0.7532959	-3.2117968	-8.485802	36000	-0.011964217	0.89399076	-1.04010105e-05	-0.13734539	3.6757216	-1.9332765e-07	10.917549133300781
9	-75.150185	19.952179	-59.97711	-109.055885	761.5	-5.401456	0.8175144	-3.183137	-10.317344	40000	-0.006453976	66.29524	-1.23903155e-05	-10.22094	3.6427188	-2.2261142e-06	12.24991250038147
