Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-120.05749	6.3685093	-109.71265	-149.10219	101.054054	0.5626946	0.26940486	1.3326311	-1.103273	4000	-0.023313418	4523.079	-7.31498e-05	-3939.5154	3.6690338	-7.4023046e-07	1.5775165557861328
1	-118.013466	5.5730906	-110.18053	-132.39299	90.71429	-59.686127	10.894827	-22.600712	-85.26056	8000	0.019411419	398.6894	-5.372992e-05	-123.577675	3.6880836	-8.913696e-06	2.768601655960083
2	-117.010666	5.255625	-110.02674	-138.61635	91.47369	-63.108738	14.050671	-23.03354	-114.47361	12000	0.025954127	363.08807	-8.0533326e-05	-84.69226	3.6701083	-6.3562693e-06	3.9584689140319824
3	-116.870834	3.0050075	-110.93759	-125.60672	66.067795	-69.984406	17.318323	-19.532248	-135.13441	16000	-0.019761235	311.7344	-0.000100608915	-77.62006	3.6636214	2.5016725e-05	5.1760735511779785
4	-118.899704	5.0238223	-110.073	-134.2722	85.152176	-72.85373	11.129683	-19.742083	-115.34126	20000	0.022670463	207.94435	-5.824119e-05	-42.607544	3.6940913	4.9286846e-05	6.404282808303833
5	-118.64801	6.364484	-111.296295	-144.22256	109.3125	-66.61151	13.330605	-12.105754	-113.967735	24000	0.010112941	321.54254	-0.00011554733	-99.30605	3.674069	-1.1675953e-05	7.629953861236572
6	-118.46272	5.433288	-112.731255	-142.53224	92.29269	-63.382305	19.409803	3.7144709	-132.05798	28000	-0.0070866793	214.71426	-2.2456516e-05	-27.26382	3.6636643	-1.5783016e-06	8.840291500091553
7	-118.45074	3.7266178	-114.19729	-136.70308	87.325584	-68.07684	15.621041	-29.273813	-119.860085	32000	-0.046448402	170.34969	-7.8976154e-05	-19.239044	3.6879542	1.845646e-05	10.064407587051392
8	-119.49823	4.6330423	-111.76749	-138.75949	89.46512	-70.06964	16.396984	-27.48434	-139.92259	36000	-0.014970601	155.24619	-5.7198107e-05	-9.145155	3.6759582	2.3979694e-05	11.280932426452637
9	-118.82196	4.835383	-109.81807	-131.48145	89.93023	-69.9086	14.509955	-27.802013	-134.00449	40000	-0.012452863	170.46744	-8.4927306e-05	-8.355114	3.6429467	-2.3433298e-05	12.715826511383057
