Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-110.49602	10.037841	-100.3954	-139.73097	156.18182	-0.16192484	0.37862685	1.0325754	-1.4350649	4000	0.02371034	2660.6226	-0.00011726376	-1357.3138	3.6770139	-2.500692e-05	1.8919270038604736
1	-106.77085	7.330957	-97.438866	-125.06241	153.30435	-16.198347	8.744088	5.5846634	-45.717873	8000	-0.0041518062	1287.3184	-0.00011826493	-809.51184	3.6792026	-4.5922694e-05	3.313436269760132
2	-105.19233	4.792907	-98.42899	-115.70718	127.88461	-44.037994	9.009741	-25.475527	-80.865654	12000	-0.014293946	427.03333	-0.00017075613	-186.54973	3.628673	0.00016253282	4.7198076248168945
3	-106.42712	8.523776	-97.00012	-127.74378	173.86363	-43.79723	20.12707	-12.698344	-99.1944	16000	-0.011693656	267.7223	-0.00028382987	-41.441395	3.696805	2.2062537e-05	6.142622947692871
4	-106.517525	8.223341	-98.302925	-130.18242	152.05263	-41.695694	21.267166	-8.738472	-100.27523	20000	0.0007081032	247.23927	-0.0003472194	-54.0211	3.7411633	-0.000113614195	7.555751085281372
5	-110.87158	9.039342	-98.453156	-128.01955	193.75	-33.772007	24.121414	-0.39896244	-106.5771	24000	0.014626855	262.09488	-0.0005095843	-22.528934	3.6628933	-0.000111986046	9.000550270080566
6	-108.66099	6.81147	-96.959946	-119.793495	171.45	-40.179657	22.974403	-2.348657	-106.01799	28000	0.04560531	239.77896	-0.0002142489	-62.179695	3.6641033	2.1415857e-05	10.439128398895264
7	-107.145065	8.517282	-93.31862	-127.73879	182.6	-37.4109	22.83956	-4.9191494	-102.026665	32000	0.034428336	201.83249	-0.00028308062	-34.56893	3.6859593	-0.00016183243	11.869667291641235
8	-107.47312	9.742955	-98.00713	-134.36967	148.92	-44.029343	25.66352	-5.4921103	-121.41514	36000	0.0034214333	195.47652	-0.00026826188	-59.02075	3.6722803	-4.3856926e-07	13.333816766738892
9	-109.60619	10.924529	-97.93527	-139.27051	151.94444	-42.87366	23.150545	-9.537388	-147.46951	40000	0.017947868	267.4069	-0.000491431	-64.49965	3.6592171	-0.00014125642	15.056875228881836
