Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-103.505005	22.436604	-46.470448	-120.54308	195.75	0.10900679	0.14826936	0.49944437	-0.38329226	4000	-0.028734788	811.78345	-3.825873e-05	-406.94855	3.6770139	-4.4399203e-06	2.0579724311828613
1	-95.010895	25.276402	-44.425583	-115.44133	281.0	-13.655646	6.925753	1.4315891	-28.631516	8000	-0.027012587	436.64432	-2.0117965e-05	-207.17839	3.6791396	-1.1987986e-06	3.707822322845459
2	-78.45439	31.750458	-40.004005	-117.54619	574.25	-10.465764	10.595289	-1.6653997	-48.60299	12000	-0.008277915	213.443	-1.1537224e-05	-125.176636	3.62858	9.630621e-07	5.373296737670898
3	-91.01578	27.634356	-32.221935	-118.43831	307.375	-10.03553	9.80449	2.541235	-48.10048	16000	-0.0011939406	367.2574	-1.9684434e-05	-171.77353	3.6967163	-1.3214367e-07	7.0408689975738525
4	-89.6072	26.809294	-35.05517	-111.84028	301.0	-11.776025	13.6769495	-1.4402347	-55.336533	20000	-0.006722994	211.36017	-1.6000122e-05	-73.5332	3.7410684	-5.6707263e-06	8.715025186538696
5	-98.71343	19.251951	-47.13995	-116.2156	209.76923	-13.283003	15.251429	-2.5331984	-60.154358	24000	0.008345768	314.0919	-1.0523945e-05	-216.2923	3.6627924	-1.6905964e-06	10.362866878509521
6	-87.536896	27.886494	-43.81743	-112.26714	375.66666	-11.282816	16.516722	-3.2193758	-77.01	28000	0.022233278	119.73425	-2.7077273e-05	-57.275307	3.6639652	-1.8631815e-06	11.811695575714111
7	-109.30007	6.620218	-100.34421	-119.92325	156.44444	-12.527252	17.769632	-0.6923895	-78.14782	32000	0.027259916	315.2624	-1.1883676e-05	-207.59982	3.6857693	-4.0764808e-06	13.21448826789856
8	-101.93619	15.710571	-58.876987	-114.62497	216.88889	-17.41886	20.859066	-2.092286	-82.763596	36000	-0.01023192	169.93149	-3.234297e-05	-66.55421	3.6720715	4.553646e-06	14.645535469055176
9	-88.75962	24.010567	-44.284466	-115.74301	352.0	-12.258664	17.514566	0.6105511	-93.212	40000	-0.03745839	140.40915	-2.915971e-05	-83.40694	3.6589766	-2.585411e-06	16.37001347541809
