Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-103.99764	19.556852	-62.753708	-122.70147	276.33334	0.11311426	0.24080178	0.8449978	-0.6980545	4000	-0.0066369623	596.5952	-5.6261662e-05	-284.4864	3.6770136	-2.918839e-07	1.8064637184143066
1	-109.834435	7.2496376	-96.90553	-120.51969	103.61539	-14.061393	10.39007	11.494111	-33.189663	8000	-0.033206165	682.5305	-7.158518e-05	-336.85004	3.679166	-2.1392167e-05	3.213928461074829
2	-103.30417	20.320023	-46.554844	-139.31926	251.5	-19.98902	20.029356	0.25000405	-60.3158	12000	-0.035997376	369.5984	-4.8112124e-05	-149.3704	3.6285906	-4.1294097e-06	4.6252148151397705
3	-108.29355	17.905882	-61.31852	-137.06421	263.9091	-22.945532	21.557491	-0.44672358	-72.07082	16000	0.0043613613	394.5156	-3.344938e-05	-268.22504	3.69669	-8.14405e-06	6.041661024093628
4	-106.93941	6.948018	-99.16865	-122.24728	114.13333	-21.51466	20.846182	5.9468164	-84.64248	20000	-0.022747152	455.3991	-7.228367e-05	-305.90918	3.7410614	-3.7345708e-05	7.45170259475708
5	-86.772316	33.31954	-44.584938	-123.736786	455.2	-10.7593775	16.063927	-1.7971159	-91.67498	24000	-0.029492192	124.02304	-7.185142e-05	-69.165436	3.6627564	6.4539313e-06	8.838667154312134
6	-92.99409	38.150623	-31.510824	-128.04976	603.6	-11.227399	15.728198	-3.197603	-90.7399	28000	-0.014621973	183.29675	-4.9469993e-05	-128.80476	3.6639102	-8.247941e-06	10.247903823852539
7	-108.01907	9.462363	-93.564896	-128.73778	227.44444	-15.467071	21.56513	-3.378587	-92.89434	32000	-0.026847385	308.86365	-6.184541e-05	-156.77097	3.685681	-1.7839553e-05	11.65673279762268
8	-90.555435	30.521925	-39.53573	-117.52111	300.75	-12.414519	15.834189	-4.176054	-96.610825	36000	-0.018926455	72.694405	-7.4493764e-05	-49.464767	3.671903	1.36658255e-05	13.077720642089844
9	-83.724754	22.90768	-44.88128	-112.60705	497.375	-13.427909	20.071127	-2.4495409	-94.919624	40000	0.006356403	297.1975	-4.722923e-05	-236.36395	3.6587977	1.0729103e-05	14.803988218307495
