Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-118.89105	4.427036	-111.10297	-136.21927	79.708336	0.5590704	0.27590227	1.4209939	-1.2381094	4000	0.0015737936	5545.1523	0.5416176	-233.62451	3.669034	3.1656895	1.5987517833709717
1	-103.522705	20.518835	-67.19511	-127.031845	313.375	-0.5971243	0.95594454	1.8690664	-2.7094088	8000	-0.014308929	722.0569	-4.172325e-06	-3.7260122	5.683215	3.5488605e-07	2.8121488094329834
2	-91.132996	20.104416	-66.51072	-111.93189	449.8	-1.0611062	0.8481224	1.6437993	-2.6823642	12000	-0.013990596	339.5442	-3.0770898e-06	-1.3004928	5.665181	-1.9747615e-06	4.016199350357056
3	-107.170395	10.588391	-69.80956	-118.85836	117.85	-1.101106	0.79791826	1.4787899	-3.0780768	16000	-0.02092743	1875.3057	-3.322959e-06	-13.159227	5.658647	-1.0384322e-06	5.240285873413086
4	-101.828865	15.032871	-73.56636	-119.8647	258.5	-1.3040706	0.870701	1.4513483	-2.968445	20000	0.012714565	813.5459	-1.385808e-06	-3.399959	5.689083	-9.664893e-07	6.4490344524383545
5	-101.388016	16.824926	-65.77192	-118.99251	302.25	-0.7883046	0.9272969	1.7551581	-3.1141663	24000	-0.018141687	609.7171	-1.2516975e-06	-2.4328966	5.6690655	-1.09195696e-07	7.64647102355957
6	-102.00549	16.999527	-61.932793	-130.91359	206.0	-1.2137353	0.93174255	1.1164467	-3.7249694	28000	-0.03431809	1184.6243	-4.246831e-06	-5.8055115	5.6586223	1.0246636e-06	8.84707498550415
7	-105.43257	15.650046	-72.3445	-122.98806	207.57143	-1.2745955	0.9821437	1.3037589	-3.629928	32000	-0.013422549	642.6303	-3.784895e-06	-2.489911	5.68286	-7.649064e-07	10.032029628753662
8	-105.68829	4.26849	-100.88168	-118.69016	69.2381	-1.3521423	0.9673836	1.1277683	-3.7554255	36000	0.0029634237	1923.83	-8.5681677e-07	-12.128342	5.6708956	2.5540592e-07	11.279498815536499
9	-108.2763	7.057104	-99.38774	-125.516785	75.63636	-2.3255723	0.60856813	0.073164254	-4.3122487	40000	0.024331301	1089.9796	-3.8444996e-06	-4.6706696	5.6379104	5.529523e-07	12.781043529510498
