Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-120.638664	14.914088	-107.46385	-171.23857	132.42857	0.0005134335	0.2559795	0.9068949	-0.69101024	4000	-0.002012454	1688.532	0.06425263	-40.457214	3.669034	1.3120348	1.7689692974090576
1	-103.81686	26.539038	-66.647255	-133.91393	510.66666	-0.51731586	0.37349728	0.6165959	-1.4040134	8000	-0.023655832	528.54944	-2.0563602e-06	-3.5246572	5.6841393	3.2353398e-07	3.1004586219787598
2	-100.71401	21.254261	-52.25481	-124.32208	243.72728	-0.63330483	0.37818176	0.54447216	-1.4405822	12000	-0.0357579	963.4406	-4.261732e-06	-5.4117703	5.666087	-8.106156e-09	4.455369710922241
3	-102.02108	19.762676	-66.231316	-125.50415	309.25	-0.82645875	0.38633454	0.4786275	-1.6892171	16000	-0.004544139	675.2185	-3.3676624e-06	-3.2916913	5.6595125	-4.5198203e-07	5.794405698776245
4	-101.394295	14.467945	-72.33661	-125.67824	261.4	-0.89574075	0.3998134	0.45456317	-1.76362	20000	-0.017055571	827.8872	-2.2980385e-06	-3.9978347	5.6899776	-3.4004455e-07	7.148643970489502
5	-94.45334	15.793074	-66.13444	-107.38172	443.0	-0.85224354	0.46101576	0.49594095	-1.8310847	24000	0.012829199	309.80002	-1.0430813e-06	-1.3236475	5.669904	1.5425684e-07	8.35566234588623
6	-98.73276	16.012869	-69.5689	-120.76247	306.41666	-0.9022987	0.43529496	0.32685587	-1.9046707	28000	-0.031933784	913.0779	-4.887581e-06	-4.49022	5.6595197	-2.110005e-08	9.545198202133179
7	-101.24526	14.560946	-76.92195	-122.65711	258.0	-0.93259984	0.41130897	0.29845342	-2.067744	32000	0.015090704	424.898	-2.477318e-06	-1.7451143	5.683761	-1.2983679e-06	10.710635900497437
8	-107.85638	6.369991	-98.15194	-120.37939	73.4	-1.2187196	0.4196838	0.26291543	-2.3695796	36000	0.0011729002	1487.0763	-5.029142e-06	-7.7617645	5.6718493	-1.3040303e-06	11.894010066986084
9	-107.33256	11.732789	-87.720795	-130.93106	182.11111	-1.3132541	0.42877254	0.09005234	-2.290652	40000	0.03552413	839.13025	-2.2947788e-06	-3.2193213	5.638861	9.982587e-07	13.325344562530518
