Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-71.35921	39.222244	-46.230705	-139.19055	998.0	-0.27404758	0.1731129	0.29067764	-1.1447234	4000	0.024223328	146.06804	-0.017972954	-18.461082	3.652707	1.0270658	2.189074993133545
1	-106.59017	26.348854	-61.173733	-163.51599	314.4	-1.4150969	0.41228032	-0.24482802	-2.1889067	8000	-0.021739393	892.74475	-1.9967556e-06	-67.46761	5.640136	1.3667346e-07	3.8324437141418457
2	-88.31145	18.671127	-66.23412	-109.31329	624.6	-3.301117	0.681495	-1.7036238	-5.042076	12000	-0.0374856	192.02473	-5.096197e-06	-11.234651	5.6865215	-1.2357234e-06	5.479063272476196
3	-85.0958	16.413877	-67.34658	-102.10859	531.5	-4.317631	0.7699744	-2.5628748	-6.356847	16000	0.0028309375	162.71152	-6.92904e-06	-7.9389734	5.6947193	-2.1849871e-06	7.157412528991699
4	-108.81706	8.804462	-99.26552	-126.30638	84.15385	-5.3746543	0.75362	-2.8024879	-7.65956	20000	0.023338467	1189.915	-3.0100346e-06	-131.8768	5.701956	-2.0563448e-08	8.799724578857422
5	-105.830986	13.625017	-62.66189	-127.82405	137.0	-8.534186	1.4803736	-4.666202	-13.45193	24000	-0.03193274	1003.83777	-2.771616e-06	-81.52507	5.627091	-1.1678337e-06	10.427249193191528
6	-112.723526	23.481842	-69.84915	-187.98112	187.66667	-11.372297	1.8795807	-5.1829796	-18.000069	28000	0.032700807	1080.6794	-3.822148e-06	-95.59748	5.669706	1.4797449e-06	12.028953075408936
7	-95.58139	16.952625	-66.92424	-114.6747	321.63635	-15.192555	2.1913466	-6.602367	-23.02437	32000	-0.023676395	522.15045	-3.8444996e-06	-4.7299004	5.674106	-8.392334e-08	13.661798477172852
8	-99.71268	19.119963	-65.34533	-123.91776	297.625	-14.777459	2.2167227	-7.7584534	-22.76202	36000	-0.008190215	412.46533	-3.3527613e-06	-1.5065126	5.666423	-1.2156963e-06	15.304508209228516
9	-105.52478	7.7427735	-97.18615	-126.09691	76.5	-14.809006	2.5993538	-6.3910904	-23.868673	40000	0.028299928	795.10364	-3.0845404e-06	-34.706535	5.6540484	6.1565635e-07	17.19725012779236
