Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-81.48788	22.656336	-57.912483	-109.25142	620.6	0.16692539	0.17928968	0.8464678	-0.57665586	4000	-0.019650578	210.78752	0.013755448	-24.340649	3.6770136	1.0409603	2.01723051071167
1	-104.20845	13.0717945	-68.97136	-120.28823	222.92308	-1.0963256	0.520521	-0.22923039	-2.1293108	8000	-0.03629279	1170.2007	-2.451241e-06	-103.11864	5.6737566	-2.590418e-07	3.4851925373077393
2	-111.2801	10.211829	-84.80013	-122.15612	159.16667	-3.7590337	0.6973258	-1.3180916	-5.5325413	12000	0.007965803	1138.3357	-3.4957193e-06	-80.80687	5.6231613	3.3044807e-07	4.95379638671875
3	-80.07565	16.630041	-65.09381	-108.17257	767.0	-5.857	0.8609996	-3.3038309	-8.247384	16000	-0.0106422305	91.30144	-1.66893e-06	-1.4354075	5.6913257	4.453659e-07	6.408701181411743
4	-101.684425	12.217662	-59.951866	-113.93696	134.2	-6.18451	1.1143684	-1.3507314	-8.681619	20000	-0.019450292	1145.22	-1.8365681e-06	-67.069305	5.7356725	1.1550188e-06	7.875308513641357
5	-104.66413	13.358395	-61.745472	-116.40037	157.61539	-8.458215	1.0401962	-4.162713	-11.375009	24000	-0.023573518	1018.2825	-2.4288893e-06	-57.742126	5.657366	-9.1999766e-07	9.362273931503296
6	-104.669556	18.656137	-73.622314	-129.26553	346.85715	-10.146501	1.241825	-5.883767	-14.05253	28000	-0.0192976	448.64285	-3.0249357e-06	-6.3743315	5.658515	-5.3685903e-07	10.816685199737549
7	-92.59986	22.036589	-65.85487	-119.18128	455.0	-10.418031	1.4528126	-6.0823603	-14.749826	32000	-0.0018571913	257.69046	-5.2456817e-06	-2.1191914	5.6802764	1.2838842e-06	12.277340412139893
8	-103.17829	15.544193	-62.60855	-123.07238	184.58824	-10.115889	1.5993187	-5.3978844	-14.383598	36000	0.021602392	1088.8776	-2.0116568e-06	-58.44205	5.6665525	6.676912e-07	13.765387535095215
9	-90.18903	15.106757	-70.5222	-107.576416	534.3333	-12.017004	1.5714369	-6.0037584	-17.353643	40000	0.006678343	215.95967	-6.109476e-07	-0.9159498	5.653513	-4.8339373e-08	15.446157455444336
