Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-93.13566	24.833643	-62.775208	-116.462204	460.0	0.15466467	0.18166864	0.83728695	-0.5696894	4000	-0.010593884	375.2332	-9.283423e-06	-241.1054	3.6770136	-2.538383e-06	1.777015209197998
1	-94.756966	21.973253	-63.595478	-112.15647	366.83334	-8.9843025	9.273452	-1.1570072	-50.88808	8000	-0.012822419	159.54361	-1.4856458e-05	-24.28584	3.6791677	-4.805684e-06	3.2008156776428223
2	-101.76825	15.174278	-69.304886	-113.34489	221.83333	-10.496209	13.47983	0.23527688	-65.05405	12000	-0.027438052	189.14392	-2.3163855e-05	-50.83839	3.6286333	1.0362894e-05	4.6113972663879395
3	-100.91555	21.349815	-57.598076	-123.13646	321.3	-22.812935	25.776495	-0.13877454	-79.87182	16000	0.02792421	599.3908	-1.276657e-05	-366.08273	3.6967654	2.6596786e-06	6.021798849105835
4	-108.06545	5.8648605	-96.28489	-119.16254	73.85714	-22.628906	22.048166	7.850423	-104.19405	20000	0.01465863	333.90213	-9.550527e-05	-109.66136	3.7411485	-9.645969e-06	7.458246231079102
5	-100.15297	19.61369	-45.472874	-117.0605	216.35715	-24.778082	27.893145	4.2405176	-120.18708	24000	0.003178466	225.35876	-3.8154656e-05	-58.502518	3.6628869	1.0458349e-05	8.898453712463379
6	-91.218056	23.459076	-56.240345	-121.35577	467.57144	-11.80711	15.826581	3.728609	-93.64504	28000	-0.044819668	158.52467	-4.020147e-05	-34.863144	3.6640816	-1.1265665e-05	10.325828552246094
7	-106.142586	5.5608773	-94.06262	-117.623146	77.611115	-23.635746	25.341997	2.1051686	-117.34782	32000	0.0121301785	249.13626	-4.4882298e-05	-25.619312	3.6858523	1.819849e-05	11.765835285186768
8	-107.37568	14.677503	-64.72451	-122.94636	161.16667	-15.480769	23.255072	8.407451	-109.15453	36000	0.015851624	294.6441	-3.3788383e-05	-141.06316	3.6721392	9.055168e-06	13.201668739318848
9	-100.510826	16.910454	-64.063736	-117.25926	250.83333	-12.154239	18.84033	-0.85590893	-103.97563	40000	-0.027932271	175.50885	-2.545584e-05	-119.66553	3.659068	-9.901823e-07	14.758441925048828
