Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-78.01718	27.89825	-50.035126	-116.91234	625.2	0.18748477	0.14154322	0.56484497	-0.24614011	4000	-0.012377799	231.53128	-1.0251999e-05	-76.55011	3.6770139	-7.171334e-07	1.7405006885528564
1	-101.922386	20.84729	-55.5345	-113.74623	214.16667	-7.8480787	1.7313719	-4.9623356	-15.270513	8000	0.0076251924	354.0569	-1.2408942e-05	-288.5359	3.6791666	-2.6464163e-06	3.155352830886841
2	-64.80005	3.1713939	-59.415806	-67.61997	1000.0	-7.625953	7.584633	-2.5156357	-84.11406	12000	0.0010298342	53.57067	-3.1430274e-05	-50.997246	3.6286445	1.3714314e-05	4.54072904586792
3	-59.03926	6.1122265	-52.758347	-69.14147	1000.0	-6.0893884	1.1829126	-3.6790123	-21.027857	16000	-0.03025429	3.3305707	-2.809614e-05	-0.9853326	3.696794	-6.7666224e-07	5.927295446395874
4	-59.69985	6.1152678	-49.56666	-65.14063	1000.0	-6.025853	1.2390702	-3.5356307	-21.813332	20000	-0.043734275	3.0051146	-2.8466806e-05	-0.77763027	3.741142	1.3495028e-05	7.321455478668213
5	-57.907516	3.1586657	-53.47562	-61.022804	1000.0	-6.1414433	1.7732478	-3.6264005	-27.770834	24000	0.026299588	4.721035	-3.099843e-05	-2.852672	3.662845	-2.2379156e-06	8.722265720367432
6	-112.18823	31.023064	-64.84749	-162.56842	403.8	-5.877477	1.3722079	-3.3379784	-28.31101	28000	0.0062387288	380.11868	-1.3092533e-05	-149.1626	3.664054	1.0806322e-06	10.133070945739746
7	-99.50745	34.417873	-60.089085	-152.15253	533.6	-11.791012	8.207145	-5.051136	-83.236336	32000	0.0023804456	166.86006	-1.2844801e-05	-30.982735	3.6858554	8.883446e-06	11.537237167358398
8	-89.82571	23.907694	-58.612495	-110.60096	438.2	-11.611781	12.964109	-6.195686	-107.26175	36000	-0.0043694526	35.176704	-1.7795712e-05	-12.835482	3.6721363	3.7645104e-06	12.965315818786621
9	-86.22908	23.820438	-57.679432	-110.59087	536.75	-8.118376	10.882642	-3.2298813	-107.73974	40000	-0.015872456	56.291042	-1.7479062e-05	-15.7787485	3.6590533	-2.3562907e-06	14.523223161697388
