Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-116.49278	2.0211258	-109.55026	-121.26778	77.46939	0.49818408	0.0787602	0.6624295	0.25629902	4000	-0.025081582	5849.76	-4.668068e-05	-5564.8955	3.6770139	-4.2080956e-08	1.8863112926483154
1	-116.004906	2.6225924	-107.04244	-121.68581	78.041664	-67.79677	11.080912	-44.72498	-99.59996	8000	-0.0077464134	143.21246	-9.8743476e-05	-57.584976	3.6791587	5.1063686e-05	3.4280636310577393
2	-116.63839	1.5518316	-109.3602	-119.04194	78.145836	-75.86494	11.814271	-50.30782	-112.238144	12000	-0.0022835135	85.148056	-0.00011275709	-3.302446	3.6286275	9.247231e-05	4.9479005336761475
3	-116.17752	1.8470695	-109.188385	-119.03832	76.68	-74.559685	12.999507	-50.504814	-114.83832	16000	-0.02200377	93.63841	-6.4249616e-05	-1.5665822	3.6967752	-3.09381e-06	6.466285467147827
4	-116.03701	2.806022	-107.379166	-121.550766	78.89796	-74.49903	12.69331	-51.70477	-113.15083	20000	-0.02556818	75.556	-1.7699262e-05	-6.907768	3.7411282	-3.6085577e-05	8.015262365341187
5	-116.32998	2.94676	-107.34303	-126.5573	77.71429	-76.20399	11.815215	-51.670685	-110.83737	24000	-0.040017426	80.18566	-8.056313e-05	-3.4426413	3.6628423	-1.2120017e-06	9.569952964782715
6	-115.76391	3.071616	-107.63467	-125.17938	79.04082	-74.34062	12.6172285	-51.51585	-115.14477	28000	-0.012259737	92.1225	-5.914364e-05	-6.4105206	3.6640117	-2.9353618e-05	11.072547912597656
7	-117.72257	2.0068436	-115.00492	-123.83538	89.38095	-74.96814	11.546182	-51.66217	-111.8818	32000	-0.03371209	191.09778	-4.0445477e-05	-30.355621	3.6858015	-4.9050777e-05	12.615464210510254
8	-116.513916	2.181379	-107.35414	-120.84989	78.12	-72.73526	14.676096	-46.146214	-117.46057	36000	0.0062467307	78.19918	-1.5538186e-05	-14.202143	3.672061	-6.8140025e-07	14.160776853561401
9	-116.56895	2.3707607	-109.42292	-121.30412	79.708336	-74.525826	12.606705	-50.833588	-112.58574	40000	-0.034071594	92.78659	-5.338341e-05	-1.9935589	3.6589842	3.7074864e-05	15.84337592124939
