Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-105.13608	27.350588	-33.69366	-122.316826	198.5	0.08070098	0.15066987	0.4696083	-0.36984757	4000	-0.022215515	849.13513	-7.7039e-06	-243.60114	3.6770136	-2.1636481e-08	1.7700209617614746
1	-87.92399	28.882107	-43.8779	-115.70449	378.0	-11.727908	1.7391059	-8.441544	-15.585863	8000	-0.071020454	309.5947	-1.4066696e-05	-25.04566	3.6791608	-1.649797e-06	3.172109842300415
2	-100.47128	16.685867	-55.058613	-119.48783	179.7	-12.269509	3.1439297	0.15312123	-17.971182	12000	0.018330783	636.6998	-9.551644e-06	-291.31735	3.6285913	6.1684254e-06	4.603582143783569
3	-96.39929	27.47484	-41.177254	-116.32111	317.5	-14.047187	10.404247	-1.9577088	-38.367188	16000	-0.0059959292	289.2376	-1.50203705e-05	-81.878456	3.696751	1.9565523e-06	6.005137920379639
4	-90.07448	26.830322	-44.362923	-112.21139	299.25	-12.083367	12.350952	-0.97349375	-50.371048	20000	-6.893277e-05	203.54514	-4.2364e-05	-70.74953	3.741114	-1.7688899e-05	7.415345191955566
5	-85.50545	27.992477	-43.649944	-114.53928	444.8	-7.278929	8.061999	-2.120517	-40.39776	24000	0.008372098	126.87776	-1.4912337e-05	-28.808561	3.662843	-2.002567e-06	8.816776037216187
6	-93.00817	25.086071	-43.609203	-114.414116	280.1111	-11.127769	12.633569	7.7992306	-47.85148	28000	0.014464766	275.30698	-1.7672777e-05	-105.97255	3.6640415	-4.0161012e-06	10.241793394088745
7	-106.020226	5.299071	-97.98823	-112.42965	78.166664	-15.201656	14.647779	-5.5593967	-57.494164	32000	-0.022787185	203.81006	-1.8757419e-05	-123.97458	3.6858473	-1.2658538e-06	11.649709701538086
8	-81.56332	30.300665	-32.901405	-109.9461	448.2	-10.4409275	12.878671	-2.9041286	-63.5886	36000	-0.032060593	95.11317	-2.0101666e-05	-32.599564	3.6721132	3.0270517e-06	13.070321559906006
9	-79.887794	22.690527	-48.622665	-98.7694	472.4	-9.535703	13.603525	5.7683754	-63.415203	40000	0.0021182597	93.344696	-1.1542812e-05	-36.86684	3.6590135	4.413724e-06	14.647499799728394
