Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-60.864716	3.7195723	-55.61742	-65.21095	1000.0	-0.06345337	0.20881842	0.97243035	-0.9220686	4000	-0.039504558	29.31518	-9.983778e-06	-26.698597	3.6690338	-6.3702464e-07	1.6807284355163574
1	-57.667492	2.5975413	-54.806473	-61.33233	1000.0	-5.088969	0.4398856	-2.7489498	-6.253868	8000	-0.052866563	1.5939023	-4.954636e-06	-0.28827178	3.688088	-3.0571223e-07	3.0315282344818115
2	-62.51559	1.4856772	-60.339287	-64.39745	1000.0	-5.5958524	0.47844863	-3.2875626	-6.6356177	12000	-0.046293907	1.9531739	-1.6954727e-05	-0.10621154	3.6700487	-5.506873e-06	4.367288589477539
3	-61.059593	2.9438324	-56.160065	-63.87105	1000.0	-5.9017587	0.4837193	-3.3332438	-6.9764757	16000	0.006138526	1.1424797	-7.243005e-06	-0.018856838	3.6635127	-4.330575e-07	5.704521179199219
4	-60.37929	1.3617731	-58.161953	-61.859425	1000.0	-5.7429676	0.45576525	-3.647266	-6.6658115	20000	-0.019593254	1.0634267	-1.4513731e-05	-0.041385405	3.6939907	3.2599867e-06	7.049524545669556
5	-74.10715	20.976847	-60.60086	-110.37017	762.75	-5.853196	0.46576205	-2.6956565	-6.995237	24000	-0.035723954	78.66235	-1.18762255e-05	-3.5653148	3.6739383	1.2482702e-06	8.292155742645264
6	-72.94862	20.956491	-59.95555	-109.21799	785.25	-6.7648177	0.56349	-4.201427	-9.049972	28000	0.022946537	97.14371	-4.8577785e-06	-9.859865	3.6635077	1.3180078e-06	9.452858686447144
7	-59.316597	1.331789	-57.099594	-60.62945	1000.0	-7.3894053	0.8470065	-4.82571	-11.418567	32000	-0.031520996	3.5478795	-9.9390745e-06	-2.426557	3.687822	1.3983248e-07	10.619491338729858
8	-60.17607	2.0691047	-58.082752	-62.490223	1000.0	-6.008146	0.7838324	-3.5116773	-9.625422	36000	-0.0008289516	1.2494185	-9.289943e-06	-0.31830746	3.6758633	1.4339089e-06	11.784561157226562
9	-72.875755	21.672928	-59.059834	-110.34918	770.5	-5.878496	0.7822996	-3.2528787	-10.484242	40000	-0.05130814	85.71733	-1.34781e-05	-9.235221	3.6428723	-2.8530062e-06	13.095922708511353
