Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-119.898865	4.626226	-113.21472	-135.13246	93.14286	0.5696466	0.2683231	1.3074328	-0.7603964	4000	-0.022825927	5111.5674	-3.2309443e-05	-4709.0015	3.6690338	-1.27932435e-05	1.545922040939331
1	-117.602394	3.6294494	-110.170944	-126.61889	77.583336	-64.88449	9.035243	-33.99575	-82.66082	8000	0.04379902	390.26117	-1.2122095e-05	-126.37186	3.688098	-2.2043287e-06	2.7484209537506104
2	-118.055565	4.942009	-108.53204	-135.53592	79.645836	-69.97309	10.863603	-35.315056	-98.72778	12000	0.009065017	278.26965	-4.2440835e-05	-47.2415	3.6701167	9.512903e-07	3.945359706878662
3	-118.56357	5.037757	-109.58418	-130.46832	89.47619	-71.22233	11.819363	-40.3616	-104.639595	16000	0.012384608	262.7127	-2.9578805e-05	-41.38977	3.6636143	-1.3606846e-06	5.167058229446411
4	-120.1198	8.559584	-112.05144	-170.39351	90.4186	-65.41233	15.701087	-13.578582	-109.2214	20000	0.024040475	255.24487	-7.1011484e-05	-69.22933	3.6940966	6.9779453e-06	6.383846759796143
5	-118.452286	3.608311	-111.05482	-132.18886	79.0	-72.05147	12.970812	-25.872194	-113.80404	24000	0.040609613	138.30945	-3.7852675e-05	-11.591703	3.6740704	-7.8752055e-06	7.615929841995239
6	-120.85914	6.2880297	-109.622185	-146.83202	106.22857	-70.38062	13.721616	-22.634912	-115.92649	28000	0.008265436	398.08575	-3.6485493e-05	-136.45926	3.6636858	5.2879755e-06	8.829906940460205
7	-118.9767	3.5893683	-112.28047	-127.78546	92.5	-66.00603	14.244899	-26.062555	-116.736176	32000	-0.02328585	191.09538	-6.622914e-05	-20.827566	3.6879916	9.413838e-06	10.048628330230713
8	-119.06819	3.6708589	-113.72488	-131.65761	83.325584	-69.52772	16.155712	-3.2079449	-123.91095	36000	-0.007892996	166.78133	-3.1101517e-05	-10.687695	3.6760378	1.8023758e-05	11.255393505096436
9	-117.71909	3.9457366	-108.321915	-128.18303	77.87234	-68.82405	14.287512	-32.700523	-126.67971	40000	-0.0331342	176.60858	-2.2528693e-05	-17.08659	3.6430428	-1.3530731e-05	12.626885890960693
