Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-60.646927	4.0372114	-54.957195	-66.110664	1000.0	-0.06910817	0.21977504	0.946965	-0.90642095	4000	-0.022850987	29.328764	-2.7235597e-05	-7.766059	3.6690338	-3.4427048e-06	1.4935650825500488
1	-57.651062	2.877852	-54.156704	-61.805576	1000.0	-0.85267985	0.19582304	0.04635547	-1.6160407	8000	-0.04659868	21.126032	-1.8986873e-05	-3.1349654	3.6880684	1.1499822e-06	2.6671202182769775
2	-60.69209	3.4007726	-55.502617	-64.36702	1000.0	-1.2360159	0.20350671	-0.26853868	-1.9576249	12000	-0.04761207	18.645588	-3.7478283e-05	-2.2398686	3.6699739	-1.3149709e-05	3.8163890838623047
3	-60.4673	3.2981184	-55.6364	-64.576485	1000.0	-1.548427	0.20288983	-0.638684	-2.3002176	16000	0.021467686	16.728277	-2.092123e-05	-1.9878335	3.6633768	3.0648698e-07	4.9521284103393555
4	-62.21663	3.161918	-58.162674	-66.86797	1000.0	-1.7627349	0.22927609	-0.88568485	-2.5333827	20000	-0.018336745	16.944317	-3.188383e-05	-1.7309706	3.693892	8.402825e-06	6.107207775115967
5	-75.225784	19.424337	-60.355293	-108.434685	770.5	-2.024156	0.23052563	-0.36971745	-2.7989664	24000	0.0049316734	115.47864	-2.30968e-05	-2.4324894	3.673817	7.1609014e-07	7.29932427406311
6	-59.92094	1.3748254	-58.347443	-61.614513	1000.0	-2.2982721	0.23528841	-1.3397952	-3.1374512	28000	-0.063510835	11.483295	-3.888714e-05	-1.0154257	3.663417	-4.0938257e-06	8.454831838607788
7	-59.956726	1.2446208	-58.3014	-61.75345	1000.0	-2.448858	0.2550116	-1.3974185	-3.1449873	32000	-0.05873292	10.30946	-5.9395097e-05	-1.0187125	3.6876016	-1.4413625e-05	9.630070209503174
8	-60.309845	1.460506	-58.56957	-62.494736	1000.0	-2.610762	0.2472717	-1.5870886	-3.3178165	36000	-0.017713726	9.25958	-3.965944e-05	-0.7889066	3.675553	1.5145242e-06	10.781554937362671
9	-74.387085	19.645748	-59.87706	-107.70419	763.25	-2.723057	0.27119127	-1.574889	-3.5312	40000	-0.0022664517	90.45075	-4.117936e-05	-1.4069265	3.6425304	-8.446843e-06	12.113207578659058
