Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-119.85575	5.1785626	-111.718864	-143.70084	89.95238	0.56139976	0.27680072	1.3720313	-1.1225337	4000	-0.04293087	5030.7686	-7.9512596e-05	-221.33136	3.669034	-1.7046541e-05	1.571075439453125
1	-116.843834	3.8208473	-109.52087	-125.9397	74.039215	-1.2512165	0.3202481	-0.16428879	-2.5995953	8000	-0.0071260333	5243.3115	-3.9458275e-05	-124.76221	3.6880307	-2.9844646e-06	2.8006701469421387
2	-117.67334	4.180434	-110.5567	-128.96812	82.57447	-2.2233336	0.4017828	-0.5402107	-3.6181014	12000	-0.01600346	4800.823	-0.00015286356	-87.93848	3.6700099	5.0884933e-05	4.0451819896698
3	-118.10268	4.3105526	-111.43441	-133.2484	76.265305	-2.8403263	0.51229036	-0.6521279	-4.4922314	16000	0.010315012	5057.1885	-0.00010233	-78.13953	3.6634722	3.520176e-05	5.271284341812134
4	-118.1624	4.772206	-108.88207	-134.436	84.295456	-3.3144052	0.588745	-0.8990446	-5.282106	20000	-0.06050586	4624.5117	-6.433949e-05	-59.90747	3.693966	2.251971e-05	6.462036848068237
5	-121.18533	7.302908	-111.0167	-152.60042	100.62162	-3.7186027	0.6408488	-1.1415327	-5.733679	24000	-0.030150581	4055.4082	-0.00012936909	-46.96576	3.6738117	-1.7971452e-05	7.66520357131958
6	-120.33281	4.9500155	-112.43298	-130.29332	109.057144	-4.1708465	0.6534697	-1.4092855	-6.2066665	28000	0.04148361	3970.229	-5.891826e-05	-46.041748	3.663347	-6.5572567e-06	8.869242906570435
7	-118.79998	3.4217882	-111.38167	-128.27605	85.8	-4.5323725	0.7191528	-1.9481243	-6.7985673	32000	-0.017946731	4782.5664	-6.450672e-05	-55.51465	3.6877244	-2.5479287e-05	10.08588433265686
8	-118.83599	4.457421	-110.69819	-131.06926	87.906975	-5.018973	0.76117796	-2.026899	-7.237583	36000	-0.008343257	4511.93	-3.9681792e-05	-48.969177	3.6757512	-5.2996575e-06	11.296714305877686
9	-117.791504	3.9930186	-110.461784	-125.869774	82.26087	-5.5146093	0.769334	-2.302253	-7.7948895	40000	-0.0057270937	4513.535	-7.855892e-05	-48.082275	3.6427455	2.2310585e-05	12.698072671890259
