Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-47.813282	3.1540656	-42.65264	-51.17885	1000.0	-0.2792167	0.17224471	0.28278777	-1.0213159	4000	-0.021373995	16.511898	-0.00011040643	-14.492054	3.652707	4.040063e-06	2.058649778366089
1	-48.01653	1.5840275	-46.299248	-50.60623	1000.0	-3.300145	0.40712148	-2.1281888	-4.6007705	8000	-0.041394964	2.4473689	-4.365295e-05	-1.707166	3.6427848	3.5954413e-06	3.654846429824829
2	-47.2898	3.414836	-41.561523	-50.31778	1000.0	-4.396575	0.46105632	-3.056469	-6.045065	12000	-0.05956012	0.5453216	-0.00017648935	-0.029266931	3.6891336	2.821195e-05	5.260761022567749
3	-47.37275	1.6986328	-45.21	-49.9175	1000.0	-4.3469324	0.3559183	-2.9995623	-5.632605	16000	-0.04207261	0.45915398	-0.00015702099	-0.0795978	3.6972904	1.6439706e-05	6.897104978561401
4	-46.98861	2.3206499	-42.971367	-48.448307	1000.0	-4.6391993	0.47815633	-3.3750706	-6.2101865	20000	-0.06134513	1.1497577	-6.0528517e-05	-0.033099413	3.7044425	2.5686651e-05	8.501612424850464
5	-45.17347	3.287761	-39.647278	-48.148247	1000.0	-4.6127977	0.34194338	-3.049947	-5.926603	24000	-0.010956839	0.40515733	-0.00010576798	-0.042949814	3.6294205	7.1991385e-06	10.11222529411316
6	-61.801414	27.301407	-43.731155	-108.96348	770.25	-4.663519	0.4270773	-2.721662	-5.680946	28000	-0.004831493	96.37002	-7.818639e-05	-4.035138	3.6720748	1.6987651e-05	11.733615636825562
7	-50.632755	3.2303958	-45.724216	-54.506985	1000.0	-5.3319287	0.46694157	-4.2393823	-7.9917793	32000	-0.014285358	1.063172	-0.00011537783	-0.3782679	3.6764076	1.100257e-05	13.355075120925903
8	-45.916344	3.7014253	-39.54939	-48.565395	1000.0	-4.9404364	0.5316554	-3.6112292	-7.076163	36000	-0.044412747	0.87523246	-5.377829e-05	-0.16010642	3.6687422	8.426337e-06	14.972675561904907
9	-53.53263	2.9494793	-49.848717	-56.568584	1000.0	-4.4334307	0.40748173	-3.3509889	-6.9910116	40000	-0.039252743	1.1802467	-0.00025388226	-0.19889599	3.6563015	-5.29373e-05	16.898251056671143
