Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-76.67794	21.074709	-62.778618	-113.073784	767.25	0.16473031	0.17422538	0.91593486	-0.54710925	4000	0.011041075	142.81993	-7.3969364e-05	-32.679176	3.6770139	-3.9633514e-06	1.8593261241912842
1	-102.890396	15.990391	-62.76564	-121.446175	188.4	-3.1216578	0.37312573	-1.3481174	-4.1307087	8000	-0.017018318	1164.8325	-0.00014662743	-126.49894	3.679195	-2.5486468e-05	3.320371389389038
2	-111.25776	5.5454607	-100.53294	-121.33363	81.0	-5.7925506	1.932709	-1.2588248	-9.205612	12000	0.0012638718	986.0756	-8.368492e-05	-75.97256	3.628636	2.0268113e-05	4.756976366043091
3	-98.54176	20.191998	-58.197777	-116.66982	297.0	-9.570289	0.763648	-6.0630326	-12.472714	16000	-0.02065456	586.93085	-6.804615e-05	-22.456556	3.6967874	1.6139327e-05	6.189604997634888
4	-103.62439	11.377566	-67.16956	-120.52575	162.42857	-9.470198	1.9119666	-3.096788	-13.8289385	20000	-0.014386088	1009.2051	-7.077062e-05	-65.8133	3.7411149	-5.8922647e-05	7.612377405166626
5	-99.04962	20.429941	-44.357456	-114.874275	208.71428	-11.458915	2.4479258	-4.7942266	-17.230247	24000	-0.024390936	838.77246	-6.386638e-05	-37.635384	3.6628172	1.552501e-05	9.072474241256714
6	-61.1832	4.2232146	-56.496326	-65.738205	1000.0	-13.919695	1.0315886	-10.274424	-19.782433	28000	-0.00925751	56.286095	-0.00011992082	-21.047722	3.6639657	6.163061e-06	10.462347507476807
7	-105.00434	5.6381917	-96.759964	-120.31069	80.0	-12.755413	1.3874878	-7.4305925	-17.29872	32000	0.04497361	869.90137	-6.712973e-05	-40.56344	3.6857467	-2.7241975e-05	11.87916350364685
8	-97.92137	17.939331	-62.1452	-112.07862	250.6	-13.263033	2.476201	-4.691301	-19.995266	36000	0.0023569763	525.86975	-0.00012269616	-5.132951	3.672109	3.2105057e-05	13.332599878311157
9	-107.95977	20.031134	-63.755028	-133.7008	227.57143	-13.285288	2.7163014	-4.71292	-20.46534	40000	-0.027513236	490.73642	-8.461252e-05	-5.171834	3.6590323	1.33915555e-05	15.033172130584717
