Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-116.8505	1.4974687	-111.42968	-120.43278	79.74468	0.49595	0.079745024	0.66107786	0.28209242	4000	0.024783107	5660.701	-0.00010719523	-745.3456	3.6770139	7.245883e-05	1.9371075630187988
1	-116.505745	2.059325	-108.70864	-121.13068	81.80851	-4.926345	0.19217198	-4.422575	-5.4659038	8000	0.0052635297	4901.517	-0.000141453	-420.9723	3.679221	1.3601451e-05	3.4632821083068848
2	-116.237366	2.4382417	-107.98224	-119.912575	80.0625	-8.174822	0.2913256	-7.2889647	-9.056893	12000	-0.06027841	4564.419	-0.00036856718	-386.79382	3.6287045	0.00042155545	4.980151414871216
3	-116.26762	3.0365002	-107.18804	-123.15573	78.89796	-11.258793	0.4062898	-9.93276	-12.643056	16000	0.0027803406	4246.332	-9.184703e-05	-372.3109	3.6967423	-3.4356388e-05	6.553447723388672
4	-116.07	2.852729	-108.01048	-123.087746	80.375	-14.35433	0.53892684	-12.515853	-16.159883	20000	0.007600397	3745.3904	-0.00024402142	-332.23627	3.741113	-0.00015800563	8.092182874679565
5	-115.86967	2.8449583	-108.011696	-120.58791	82.61702	-17.287788	0.679427	-14.984603	-19.59177	24000	0.010064602	3381.479	-6.4626336e-05	-313.67084	3.6628568	-5.6325287e-05	9.63158106803894
6	-115.82258	2.677161	-107.49269	-123.07751	74.96	-20.263601	0.85754067	-17.42122	-23.087326	28000	-0.0027092397	3226.3337	-3.1050295e-05	-309.01312	3.664068	-2.59296e-05	11.290772199630737
7	-116.9837	2.586724	-107.513855	-122.34219	79.875	-23.325771	1.0018973	-19.854345	-26.806778	32000	-0.02415263	2878.2002	-0.00010487763	-290.27246	3.685861	8.609262e-05	13.033676385879517
8	-116.333145	2.507077	-107.3667	-124.15788	78.28571	-26.291552	1.1587023	-22.259344	-30.257694	36000	0.014254823	2602.4866	-0.00011371425	-267.6505	3.6720953	3.939316e-05	14.780942440032959
9	-117.23461	3.1491723	-109.479485	-132.2114	85.51111	-29.2235	1.2927577	-24.595814	-34.422676	40000	-0.0044034123	2168.648	-5.720742e-05	-213.62714	3.6590405	-5.7344405e-05	16.832416772842407
