Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-114.66158	12.9574795	-73.237656	-125.05307	171.91667	-0.85610354	0.2774056	0.28649053	-1.3649899	4000	-0.029474854	1353.8114	-7.018447e-06	-1018.69586	3.647492	-1.4947951e-06	1.5207734107971191
1	-113.26589	13.531536	-70.74296	-126.48258	174.38095	-30.932198	25.195639	-4.619613	-78.16133	8000	0.004688099	411.7806	-1.8086284e-05	-56.17669	3.7164474	3.1591355e-06	2.7457592487335205
2	-93.43792	23.03441	-64.40052	-118.05279	558.6667	-14.544379	16.075068	-4.5630593	-81.04933	12000	-0.016442984	195.51288	-1.4059246e-05	-81.85292	3.6371868	-5.4031716e-08	3.941253662109375
3	-114.20848	17.531242	-67.285965	-127.94302	218.66667	-20.307865	18.136566	-4.887474	-88.61367	16000	0.014084265	451.70813	-1.7374754e-05	-224.00882	3.627032	2.524257e-07	5.149180889129639
4	-115.83786	11.886473	-73.52335	-124.042175	148.66667	-25.268717	24.65294	-3.1436832	-90.03071	20000	-0.00884819	303.43713	-2.6069582e-05	-36.300156	3.666976	-9.830445e-06	6.372035503387451
5	-114.57649	17.269548	-64.314316	-127.941475	208.6	-23.762833	25.098814	-3.0096002	-111.12344	24000	-0.015799612	236.24484	-2.846308e-05	-51.317566	3.6915672	2.535641e-06	7.5810041427612305
6	-119.33597	5.6635165	-112.630165	-137.08803	87.08696	-34.614086	26.057144	-4.070702	-117.83336	28000	0.04014902	335.49243	-4.6387315e-05	-136.8988	3.6518762	-6.234408e-06	8.831304550170898
7	-114.25308	12.755388	-73.852715	-131.17384	160.38461	-26.53403	28.042486	-4.8530912	-127.09929	32000	0.0054704733	217.618	-3.2048672e-05	-42.67026	3.7115002	1.1864513e-05	10.068904399871826
8	-114.73407	12.830383	-74.46559	-127.53925	169.08333	-24.722897	24.812674	-4.1013474	-116.56813	36000	-0.017352551	297.43634	-3.194064e-05	-57.454086	3.700397	9.9473e-06	11.31569766998291
9	-118.82978	4.4292784	-112.42274	-127.461075	106.27273	-23.143269	22.868229	-0.38434556	-113.55071	40000	0.025484376	197.02927	-3.5509467e-05	-22.359894	3.655564	4.3966475e-06	12.673587083816528
