Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-118.32749	4.0905256	-112.8404	-132.25444	87.0	0.5730339	0.25808018	1.4118491	-0.7224964	4000	0.015785731	4755.523	-4.1030347e-05	-4001.6226	3.669034	-2.1624555e-07	1.5037059783935547
1	-118.19703	5.4808183	-109.50263	-144.21332	79.10204	-58.45117	7.095089	-27.637585	-78.00394	8000	-0.009621918	634.8771	-4.6536326e-05	-302.896	3.6881213	-1.5703528e-05	2.7085258960723877
2	-117.73493	4.2598248	-109.93113	-127.517815	88.14286	-67.29928	11.411578	-29.814081	-103.73083	12000	0.010848165	327.42712	-5.234778e-05	-84.4146	3.6701078	-1.1366755e-05	3.9183597564697266
3	-117.504944	4.705831	-110.19571	-133.56018	83.34042	-67.23361	12.681508	-36.899456	-108.50655	16000	-0.010295436	246.21144	-3.1128526e-05	-26.520561	3.6636066	-4.974544e-06	5.1143481731414795
4	-118.601616	5.6341386	-110.46937	-132.4007	99.42105	-69.59669	10.78631	-42.914246	-115.50959	20000	-0.021562494	322.27625	-1.9915402e-05	-49.193935	3.694075	-1.7291607e-06	6.292226314544678
5	-119.39746	3.8069904	-112.05407	-132.74779	93.02564	-64.62911	13.352112	-18.523256	-111.612976	24000	0.011720732	232.21329	-2.6673079e-05	-33.92019	3.6740212	2.655208e-06	7.495168924331665
6	-118.47629	4.1965804	-113.12251	-130.01886	90.51163	-68.15601	13.836754	-33.618694	-109.65235	28000	0.023261987	212.6326	-2.354756e-05	-10.699356	3.663619	1.5738815e-05	8.704092979431152
7	-118.46768	3.7418084	-111.19649	-127.96911	86.97619	-68.987114	13.156273	-30.393988	-114.409325	32000	-0.0046177804	300.0143	-7.979944e-05	-18.553875	3.687934	8.218705e-06	9.91644287109375
8	-119.392075	4.4060745	-110.440704	-130.22406	95.84615	-66.34808	13.705529	-37.94991	-131.73497	36000	-0.0066132993	263.80865	-2.801395e-05	-14.600307	3.6759915	1.8882663e-05	11.156749248504639
9	-117.4201	4.1543694	-110.31066	-128.51657	76.31373	-66.77673	16.822632	-31.56897	-129.56491	40000	0.03360924	243.19124	-2.266094e-05	-49.09437	3.6429973	4.945996e-07	12.518586158752441
