Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-74.98436	1.3462249	-73.500786	-76.94476	1000.0	0.0954563	0.062058628	0.4668232	-0.100445956	4000	-0.01726908	47.370026	-1.32303685e-05	-43.974346	3.669034	-4.220903e-07	1.4730937480926514
1	-74.92669	1.9595528	-71.91893	-77.32419	1000.0	-5.626038	0.09457816	-4.790485	-5.8459735	8000	0.04876547	2.6385825	-1.1023134e-05	-2.2008727	3.688101	-2.7711092e-06	2.6378910541534424
2	-74.40382	2.5031018	-70.858505	-77.462326	1000.0	-6.9364676	0.10576154	-6.024086	-7.1957965	12000	-0.039842278	1.0097234	-1.2570992e-05	-0.048269503	3.6701229	-1.4144211e-07	3.7929513454437256
3	-75.3265	1.7845374	-72.45829	-77.196495	1000.0	-7.1212306	0.11101861	-6.1418653	-7.3601575	16000	-0.012511432	0.19705355	-3.0240393e-05	-0.046654288	3.6635914	7.74844e-09	4.996613502502441
4	-73.7666	2.9913151	-68.78222	-76.74436	1000.0	-7.302333	0.11897868	-6.2998576	-7.597929	20000	-0.019374803	0.6640701	-2.8796494e-06	-0.0010108445	3.6940584	3.316462e-06	6.161356449127197
5	-75.40999	1.9863367	-73.59879	-78.38104	1000.0	-7.3214273	0.11271063	-6.357155	-7.6192236	24000	-0.02468729	0.19179028	-8.143485e-06	-0.010551663	3.674006	-1.6462802e-06	7.318889856338501
6	-75.78344	1.6485665	-72.97885	-77.06432	1000.0	-7.4023504	0.112267144	-6.377971	-7.6580195	28000	-0.014625289	0.63846326	-1.1164695e-05	-0.017248146	3.663582	-6.065756e-06	8.469071865081787
7	-74.441345	3.00368	-69.83134	-77.84409	1000.0	-7.2670116	0.12455858	-6.290649	-7.6154737	32000	0.00079865754	0.40904623	-2.4728477e-05	-0.0010141991	3.6878743	-7.921308e-06	9.621772527694702
8	-76.235214	1.3273451	-73.98452	-77.36291	1000.0	-7.2910547	0.10764882	-6.3294735	-7.5255003	36000	-0.02235566	0.65421927	-3.8128346e-06	-0.0020586923	3.6759348	2.020508e-06	10.790955781936646
9	-75.19874	2.658491	-72.0255	-79.3139	1000.0	-7.284595	0.11174226	-6.1936703	-7.5305233	40000	-0.019473776	0.46821177	-4.3231994e-06	-0.004448384	3.6429315	-2.1916626e-06	12.097307205200195
