Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-76.50801	25.56014	-51.414574	-108.648445	620.8	0.16643155	0.14472167	0.6625608	-0.31717145	4000	-0.016140416	202.58337	-8.136034e-06	-67.59177	3.6770136	-2.3083685e-06	1.771113395690918
1	-104.378975	19.41143	-57.012177	-115.17906	195.28572	-7.039123	1.797277	-4.6363964	-14.690241	8000	-0.035009757	457.45728	-1.0043383e-05	-366.64124	3.6791644	-2.1606684e-06	3.190459728240967
2	-85.35668	28.38905	-54.778645	-120.52249	535.8333	-8.048422	11.576097	-1.9387418	-80.6102	12000	0.030259892	138.6905	-1.0427088e-05	-61.514618	3.6286166	-2.5635659e-06	4.605063438415527
3	-61.002815	6.169924	-54.154366	-68.884315	1000.0	-7.187292	4.8345604	-3.123164	-59.634956	16000	0.010420222	26.111576	-2.1167216e-05	-23.822851	3.6967835	-3.0609976e-07	6.010475158691406
4	-59.47451	1.9001586	-56.624924	-61.39211	1000.0	-6.274001	2.4455094	-3.9182599	-42.78599	20000	-0.055396162	6.597517	-2.2169435e-05	-5.0378904	3.741156	9.291261e-06	7.411537408828735
5	-57.314426	3.0077279	-53.088192	-60.93094	1000.0	-5.9600053	1.6307957	-4.3555303	-30.12884	24000	0.0069205277	3.8121352	-3.4598168e-05	-2.470914	3.662852	-4.2106803e-06	8.808462858200073
6	-84.9615	23.746063	-54.74959	-108.294014	530.75	-5.720688	0.775854	-4.0839195	-20.036562	28000	0.004509568	152.03337	-2.3841858e-05	-107.20296	3.6640491	5.6309104e-06	10.212538719177246
7	-88.40702	26.362806	-52.437836	-114.31953	457.2	-10.9056425	15.515926	-3.3765497	-92.23524	32000	-0.006575361	102.17448	-1.2185425e-05	-30.772724	3.6858492	6.6577195e-06	11.626384973526001
8	-96.98866	20.963118	-59.73379	-113.08345	305.875	-11.254133	14.970926	-4.391658	-93.06829	36000	0.010084838	137.56557	-2.6337802e-05	-48.22915	3.672125	6.6627563e-06	13.047644853591919
9	-85.701706	24.055283	-56.58958	-111.10881	541.0	-8.747219	12.148198	-2.6460586	-101.37423	40000	-0.022181502	34.327457	-2.9345276e-05	-10.955432	3.659051	-3.1193197e-06	14.620365381240845
