Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-116.63587	2.7525198	-107.92751	-127.526474	79.46939	0.49803203	0.07814795	0.6611849	0.2688831	4000	0.008247912	5879.461	-5.9399754e-05	-5673.6104	3.6770139	3.1861662e-05	1.9025969505310059
1	-116.77927	1.3523114	-113.898506	-121.55824	76.8	-70.64504	10.951851	-45.14392	-101.03551	8000	0.0048125535	81.26926	-1.8410385e-05	-29.264523	3.6791787	3.0818883e-06	3.4580366611480713
2	-116.701	2.2672827	-108.53674	-123.50469	84.13333	-70.8625	12.013252	-44.194504	-110.19199	12000	0.0066806525	136.63843	-4.6333298e-05	-8.827612	3.6286554	3.2960652e-05	4.973545789718628
3	-116.16229	3.3907266	-107.365585	-124.983604	77.85714	-73.49846	13.108347	-47.106796	-114.00532	16000	-0.009187281	107.95534	-1.1172146e-05	-8.187365	3.6968079	-1.5235537e-06	6.501766204833984
4	-117.32737	3.2874992	-107.795296	-127.39149	91.04762	-74.12096	11.6575575	-50.602245	-114.255585	20000	-0.026587762	151.09756	-0.00012367219	-13.939523	3.7411687	7.5112275e-06	8.02960753440857
5	-115.6944	2.6275184	-108.2665	-122.64576	77.265305	-71.70851	14.371099	-48.17718	-114.168625	24000	0.007596463	123.164406	-4.2662024e-05	-15.863293	3.662882	4.950264e-05	9.574340581893921
6	-115.81366	2.875433	-107.05031	-120.1573	79.71429	-74.5933	12.385875	-50.915382	-111.70277	28000	0.019926067	101.416016	-5.5372715e-05	-6.159525	3.6640797	-1.3034284e-05	11.08754587173462
7	-116.70163	2.8306599	-108.51474	-126.73324	80.755554	-74.7233	11.704684	-51.17779	-110.93944	32000	-0.010934114	175.63379	-5.2846968e-05	-19.844566	3.6858892	5.1986844e-05	12.637151002883911
8	-116.34243	2.2054248	-110.06009	-123.938774	76.90196	-73.33774	14.56112	-47.608475	-118.71317	36000	-0.018003479	78.780624	-3.0665193e-05	-11.639677	3.672162	1.7155795e-05	14.16509485244751
9	-116.8344	2.1509748	-110.0334	-122.98712	76.9	-76.77536	12.662365	-52.385624	-113.05178	40000	0.023067454	50.95755	-0.0002240222	22.39429	3.659071	-0.000117189076	15.867272853851318
