Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-99.88702	21.905869	-41.482155	-115.73283	266.25	0.090765245	0.24954787	0.84531444	-0.6942115	4000	-0.038395315	1139.0209	-3.0457973e-05	-656.56085	3.6770134	3.8678645e-06	1.7372570037841797
1	-111.95225	6.6282797	-101.454544	-121.41183	136.6	-16.399391	12.420657	6.386478	-39.74433	8000	-0.032193035	550.67395	-2.2698194e-05	-125.440475	3.679151	2.244383e-06	3.145162582397461
2	-104.69784	15.420009	-61.520386	-122.26673	174.25	-18.842762	14.778395	-0.66351295	-47.635635	12000	-0.051559955	433.5243	-2.3245811e-05	-190.83557	3.6286051	-8.719562e-07	4.561619758605957
3	-92.780396	24.343092	-43.70764	-115.13562	314.0	-14.076697	19.34691	-2.0620499	-61.032417	16000	0.034307335	200.69745	-3.1797215e-05	-38.382355	3.696723	-1.1144399e-05	5.9243762493133545
4	-96.58628	19.110512	-48.11379	-111.78582	198.75	-12.69585	16.59681	-1.6436216	-59.49313	20000	0.0003476888	140.99092	-2.6527792e-05	-44.041336	3.7411098	-1.6767859e-05	7.308365821838379
5	-86.06492	27.780392	-41.027435	-111.17006	432.2	-8.7603245	11.989527	-1.3520464	-66.707054	24000	0.018184587	104.04443	-4.8075803e-05	-42.361053	3.6628394	1.2942255e-06	8.699520826339722
6	-115.73858	9.785503	-100.589386	-136.09218	191.75	-12.860539	17.817684	3.9558382	-70.14161	28000	-0.00536998	261.22162	-6.368756e-05	-75.62312	3.6640434	6.675869e-06	10.105987310409546
7	-94.52347	24.313286	-42.216713	-117.29083	261.54544	-15.417342	17.044403	-3.7459307	-76.38353	32000	-0.018970475	299.59363	-3.2305717e-05	-129.27905	3.6858375	-1.0909081e-05	11.50926923751831
8	-99.1109	17.955841	-43.743767	-118.78561	156.83333	-19.027746	23.919079	-1.4426445	-80.50874	36000	-0.008433104	142.97081	-7.5653195e-05	-29.535606	3.6721058	5.4848792e-06	12.899458408355713
9	-95.00696	26.452137	-46.474728	-124.951065	336.9091	-20.77666	23.235819	-2.607881	-80.53153	40000	-0.015165061	291.97797	-3.2050535e-05	-114.16617	3.6590204	8.605659e-06	14.466172456741333
