Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-60.937843	2.2095015	-57.65734	-63.375534	1000.0	-0.056439675	0.20786317	0.97266936	-0.9440122	4000	-0.036646813	29.230503	-5.8971345e-06	-24.871258	3.669034	4.8282743e-07	1.5370409488677979
1	-57.74497	3.344486	-53.16446	-61.19573	1000.0	-4.09643	0.36231777	-2.448832	-4.879472	8000	-0.03126259	3.4832432	-6.7427754e-06	-2.1779978	3.6880884	-4.18067e-07	2.677704095840454
2	-60.770695	3.3788197	-55.224747	-63.55814	1000.0	-5.4018817	0.42424032	-3.6817126	-6.136849	12000	-0.02815815	1.3931503	-1.47605315e-05	-0.56208825	3.6700602	-3.886849e-06	3.8275856971740723
3	-60.53972	1.7256519	-57.753315	-62.474648	1000.0	-5.9307117	0.62953943	-3.5415452	-8.16328	16000	-0.021586508	0.5677222	-1.971377e-05	-0.1131643	3.6635325	-4.4251083e-06	4.986190557479858
4	-60.374554	2.2105243	-56.566483	-62.01659	1000.0	-5.795506	0.5355812	-3.951784	-7.8288527	20000	-0.05486545	0.8487778	-1.5243888e-05	-0.09159367	3.6939914	5.523652e-06	6.136506795883179
5	-75.088486	20.138971	-61.789867	-109.864365	763.75	-5.5783043	0.68181294	-3.5634904	-8.320694	24000	-0.013813153	77.13699	-9.782612e-06	-11.006818	3.6739078	7.6890046e-08	7.30484938621521
6	-59.62599	2.0839987	-56.974415	-62.818916	1000.0	-7.1680303	1.3020366	-3.274315	-14.434234	28000	-0.07387158	3.9178953	-1.7307699e-05	-2.9621234	3.663487	-4.7332346e-06	8.480163812637329
7	-59.704865	1.0427281	-58.56081	-60.969612	1000.0	-5.826832	0.6495874	-2.4062254	-8.352529	32000	-0.07210376	0.26159424	-1.6059726e-05	-0.047409784	3.687724	-4.2170886e-06	9.648930549621582
8	-60.645424	1.3348156	-58.74939	-62.240566	1000.0	-5.444892	0.9427072	-1.8829181	-8.032113	36000	-0.0592158	0.76112044	-2.4359673e-05	-0.3389579	3.6757178	4.27711e-06	10.842615604400635
9	-73.18947	19.964178	-59.283295	-107.65876	766.0	-5.8912697	1.0499687	-2.3707187	-11.647831	40000	-0.003335163	71.92241	-9.991229e-06	-12.410973	3.6426709	-1.7996431e-06	12.354663372039795
