Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-119.25308	4.129032	-111.75543	-128.55705	88.333336	0.2683175	0.27401015	1.1002121	-0.9075402	4000	0.041643053	3317.1943	-1.3619661e-05	-569.806	3.669034	2.126455e-06	1.5791170597076416
1	-116.1207	4.0043883	-108.60956	-125.00968	88.15385	-6.052927	0.727215	-2.800805	-7.415311	8000	-0.03395939	2524.6025	-2.284348e-05	-317.58966	3.688138	7.34058e-06	2.7639498710632324
2	-119.94204	17.110088	-82.92073	-179.26653	179.36842	-10.289525	0.7946041	-6.6970906	-11.376047	12000	0.013207555	1564.4103	-1.09523535e-05	-138.58482	3.6701078	-6.221563e-06	3.939945697784424
3	-117.47052	3.9826822	-109.512726	-130.1532	80.166664	-13.898291	0.20383672	-11.965555	-14.093405	16000	0.0152799	3599.4775	-1.8686056e-05	-333.69653	3.6636095	2.7996898e-06	5.116987705230713
4	-119.99847	10.280972	-108.64611	-160.15355	114.37037	-16.875885	0.19829771	-14.799472	-17.00244	20000	0.005415693	1944.7585	-3.3468008e-05	-153.40248	3.6940954	-1.3541222e-05	6.31500506401062
5	-118.38677	7.42859	-108.38915	-150.97726	91.02564	-19.443382	0.07469453	-18.498137	-19.475363	24000	0.004066104	2473.6807	-3.6936253e-05	-221.75494	3.6740584	-4.754782e-06	7.519631385803223
6	-117.864746	2.865276	-112.26666	-126.33432	77.57895	-22.204496	0.029328331	-21.728016	-22.217113	28000	-0.009080201	2246.3408	-1.1257827e-05	-180.51785	3.663653	2.0274501e-07	8.7272789478302
7	-119.61923	13.197291	-112.63236	-177.98451	105.52381	-24.758451	0.13625179	-23.25976	-24.836298	32000	-0.015304022	1199.75	-1.3098121e-05	-58.16858	3.6879463	4.4303833e-06	9.915361404418945
8	-121.181625	16.88183	-110.01642	-190.05003	136.8421	-26.684513	0.68497986	-21.500145	-27.072565	36000	-0.02568154	1039.2664	-2.3171306e-05	-70.38729	3.675992	-8.505404e-06	11.113788843154907
9	-117.6579	3.4673314	-111.06687	-124.13161	80.82758	-28.485441	2.3246243	-1.7211306	-29.687405	40000	0.0025126934	1407.9639	-4.8656017e-05	-137.33922	3.6429772	-7.740855e-07	12.594618320465088
