Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-77.28193	25.195526	-48.747	-108.77667	620.8	0.17584208	0.1348305	0.6300189	-0.22755909	4000	-0.017379373	204.49603	-9.7975135e-06	-68.83854	3.6770136	-2.4348496e-06	2.0129387378692627
1	-103.61462	19.202343	-60.81487	-115.1814	217.83333	-7.220722	1.6338717	-4.6215754	-14.3002405	8000	-0.007916212	386.14972	-1.4077872e-05	-230.08897	3.679163	-1.3031363e-06	3.4285337924957275
2	-76.31478	27.67069	-58.106686	-124.14509	791.0	-11.380528	8.141005	-1.5996747	-56.968395	12000	0.004438229	114.27191	-4.0844083e-05	-61.086452	3.628631	1.4335394e-05	4.847340106964111
3	-59.9383	5.221198	-53.16271	-67.152115	1000.0	-6.677325	3.5812838	1.1297884	-35.4611	16000	-0.007075891	14.5192585	-2.894923e-05	-12.452606	3.6967828	-2.0051302e-06	6.261613368988037
4	-57.526497	2.3240466	-54.57978	-60.88464	1000.0	-6.2450447	1.3974104	-1.3532557	-17.090166	20000	-0.02638337	2.0427182	-4.925253e-05	-1.2194779	3.741144	6.3780253e-06	7.674751281738281
5	-56.948822	3.1822937	-53.919594	-62.283306	1000.0	-6.1714287	0.95089203	-3.2534304	-12.446434	24000	-0.006758094	1.8246131	-5.978346e-05	-0.96356064	3.6628528	-5.117029e-06	9.084445476531982
6	-82.93785	24.559896	-54.27446	-116.2251	621.6	-6.2166424	0.7092326	-2.3038473	-8.182213	28000	-0.034325123	169.83398	-2.0109117e-05	-79.07355	3.6640403	8.368164e-06	10.505391597747803
7	-84.16504	26.37195	-56.07612	-112.11547	533.25	-7.6470256	6.0520225	-1.7986226	-39.391697	32000	-0.0016388223	86.32709	-2.0571053e-05	-41.587395	3.6858077	1.3697505e-05	11.91304063796997
8	-93.53027	24.891945	-55.633316	-115.688095	374.83334	-8.815633	13.349328	4.5476766	-76.59414	36000	0.026318744	76.335556	-4.8860908e-05	-34.060593	3.6720858	1.1183589e-05	13.336552858352661
9	-85.94409	24.969097	-57.1819	-112.01867	537.25	-7.118422	10.643994	4.202535	-98.8338	40000	-0.011925988	71.092514	-2.3664907e-05	-35.34157	3.659031	5.4444968e-06	15.00498104095459
