Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-113.153854	2.9547539	-105.359695	-119.627014	84.76744	0.27464154	0.015007063	0.31303236	0.23680452	4000	-0.025032151	4859.902	-2.3635104e-05	-879.1906	3.6770139	4.9642927e-06	2.0480504035949707
1	-113.270065	2.5060093	-107.151146	-116.68807	75.18	-6.9657416	0.029649276	-6.7956696	-7.031251	8000	-0.032877713	4565.058	-1.937151e-06	-515.8698	3.6791582	1.9854315e-07	3.498713731765747
2	-113.644424	3.3371534	-107.17362	-122.46854	83.13333	-11.148578	0.007097556	-11.107757	-11.163867	12000	-0.03224808	3755.447	-9.171665e-06	-440.66083	3.6286097	1.4662563e-05	4.949502229690552
3	-112.12492	5.045527	-87.90306	-119.00867	101.86842	-15.173368	0.003698055	-15.154003	-15.180866	16000	0.017907858	2641.3296	-1.7821789e-05	-319.5087	3.6967359	8.403659e-06	6.3789496421813965
4	-112.60927	3.2480686	-106.47458	-121.18252	72.86487	-19.363739	0.002085316	-19.351866	-19.367872	20000	-0.016219303	2288.1113	-4.544854e-06	-339.82602	3.7411153	-3.3572912e-06	7.803298473358154
5	-113.259285	2.7167823	-106.04397	-117.470856	73.66038	-24.613731	0.006135682	-24.585411	-24.626791	24000	-0.0102567375	2740.9114	-2.2791326e-05	-504.28357	3.662832	-1.8680215e-05	9.25434947013855
6	-112.769066	3.3353364	-105.92297	-119.64604	72.975	-30.091637	0.002344771	-30.07683	-30.095802	28000	0.029508948	1764.9244	-3.132224e-05	-274.70154	3.6640167	-6.5442628e-06	10.724489688873291
7	-114.30111	3.1546419	-106.72306	-120.77268	85.45652	-35.434483	0.0033086417	-35.41199	-35.439564	32000	-0.040232673	1599.7373	-2.5651418e-05	-373.6798	3.6858397	-2.4534822e-05	12.152674198150635
8	-113.017624	3.2591586	-106.44086	-118.00601	79.95	-41.189236	0.0023725617	-41.173805	-41.19281	36000	0.004147887	1164.6212	-4.7676265e-05	-171.06976	3.6720824	-1.2114764e-05	13.612247705459595
9	-114.166275	3.2832282	-107.31401	-123.61443	83.62222	-46.056946	0.0002917086	-46.055023	-46.057404	40000	-0.024312474	945.29663	-2.4158973e-05	-227.11794	3.6590059	3.6170513e-05	15.351232051849365
