Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	3.5	2.5	7.0	0.0	1000.0	4.3026	60.892284	221.5751	-184.38828	4000	-0.0023834403	4016.7815	-4.11208e-06	-36.322327	0.011348581	-3.9727875e-06	1.926579236984253
1	3.5	1.5	5.0	1.0	1000.0	-1.5115811	63.010746	193.90555	-205.09734	8000	-0.008870885	3779.0527	-1.1806842e-05	-37.590942	0.016882926	7.835983e-06	3.534684419631958
2	4.5	0.5	5.0	4.0	1000.0	-6.8794484	67.16012	203.16801	-226.36868	12000	-0.0061454643	4671.994	-9.073658e-06	-174.48889	0.0129666645	-1.9349704e-06	5.118196487426758
3	5.0	3.0	8.0	2.0	1000.0	-0.33866942	65.833275	243.38272	-199.09737	16000	4.7606765e-05	4002.9543	-1.1924218e-05	-53.799255	0.017924141	1.5049828e-06	6.687671422958374
4	3.5	2.6925824	8.0	1.0	1000.0	-8.049841	63.148674	198.65741	-194.63268	20000	-0.0025383625	3867.8252	-1.1583848e-05	-64.68475	0.009925896	-3.0824579e-06	8.255011558532715
5	5.25	2.384848	8.0	2.0	1000.0	10.171207	60.620567	213.09038	-208.55745	24000	-0.0056463922	3763.6562	-1.6577193e-05	-57.043396	0.014950813	7.030703e-07	9.813582181930542
6	4.5	1.118034	6.0	3.0	1000.0	-11.225327	60.377537	167.18207	-193.94385	28000	-0.0024206513	3796.2578	-9.337469e-06	-139.49445	0.015233043	1.2174823e-06	11.370972633361816
7	2.5	2.291288	6.0	0.0	1000.0	8.263679	61.244106	230.28111	-214.62643	32000	-0.002347688	4562.676	-1.472556e-05	-81.22223	0.021049645	2.9011314e-06	12.92809772491455
8	2.0	1.8708287	5.0	0.0	1000.0	15.594605	54.475513	201.9031	-175.26544	36000	-0.0046649263	3421.3718	-1.6485079e-05	-103.18182	0.011741025	5.156603e-06	14.481444835662842
9	4.75	6.1390147	15.0	0.0	1000.0	4.7188225	58.897377	204.6002	-195.28676	40000	-0.0075269733	3481.134	-9.293202e-06	-48.4256	0.023892084	4.5606544e-06	16.24487280845642
