Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.41017798	0.36509827	1.0195106	-1.8532711	4000	-0.018176852	0.2948777	-1.3939571e-06	-0.0069929063	1.9339457	1.5251338e-07	1.9406192302703857
1	0.0	0.0	0.0	0.0	1000.0	-0.39250585	0.3686701	0.8838933	-2.0712	8000	-0.0015782202	0.2816892	-1.7508864e-06	-0.007843591	1.9370301	7.461458e-07	3.474217176437378
2	0.0	0.0	0.0	0.0	1000.0	-0.38503864	0.36466637	0.8997678	-1.9274848	12000	-0.017227992	0.26680884	-1.1686934e-06	-0.006984338	1.9270172	-5.3086876e-07	5.025112628936768
3	0.0	0.0	0.0	0.0	1000.0	-0.36958158	0.3634795	1.0053546	-2.0361683	16000	0.009169121	0.31143284	-1.3641547e-06	-0.01052808	1.9299839	-4.330352e-07	6.581517219543457
4	0.0	0.0	0.0	0.0	1000.0	-0.3521931	0.362682	0.93237275	-1.7212082	20000	-0.0027592056	0.24728365	-1.388602e-06	-0.006343648	1.9266839	5.789846e-07	8.168667078018188
5	0.0	0.0	0.0	0.0	1000.0	-0.34156218	0.36389518	1.1388505	-1.6158316	24000	0.0073520653	0.23990625	-1.2896489e-06	-0.0069932193	1.9233476	1.3434887e-07	9.706172943115234
6	0.0	0.0	0.0	0.0	1000.0	-0.32325926	0.35997698	1.0849211	-1.5817256	28000	-0.0126758665	0.22902769	-1.985114e-06	-0.006048225	1.9444872	-4.567951e-07	11.258002758026123
7	0.0	0.0	0.0	0.0	1000.0	-0.3340019	0.36072838	1.1403786	-1.7885252	32000	-0.010394441	0.22914255	-2.4447218e-06	-0.007138137	1.9109666	3.751591e-07	12.808387041091919
8	0.0	0.0	0.0	0.0	1000.0	-0.30221745	0.36695355	1.0779341	-1.5853531	36000	0.000115700066	0.2243948	-1.9504223e-06	-0.007583622	1.9308186	6.1281764e-07	14.40207290649414
9	0.0	0.0	0.0	0.0	1000.0	-0.29229987	0.3670121	1.0092078	-1.9009985	40000	-0.017126359	0.21707143	-2.0628795e-06	-0.0064594	1.9406505	3.095567e-07	16.114421129226685
