Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-2.780978	30.153746	103.9565	-137.68983	4000	0.00093121047	965.28253	-3.0002313e-05	-21.924606	0.03188219	-2.6540176e-05	2.485260248184204
1	0.0	0.0	0.0	0.0	1000.0	-0.95906967	30.195255	99.37716	-121.189476	8000	-0.0038567856	925.7449	-3.842375e-05	-21.034332	0.033877328	7.8166095e-06	4.52886962890625
2	0.0	0.0	0.0	0.0	1000.0	-1.9521706	30.029594	102.69458	-126.51024	12000	0.0025290607	918.1067	-3.5782723e-05	-22.60765	0.039147545	-4.439405e-05	6.5190269947052
3	0.0	0.0	0.0	0.0	1000.0	-2.592007	30.025625	97.62809	-126.38497	16000	-0.0037337637	917.027	-2.2514214e-05	-25.704224	0.026803454	2.1360352e-06	8.503633975982666
4	0.0	0.0	0.0	0.0	1000.0	-1.7098252	29.915539	91.22837	-124.10678	20000	-0.0031581346	906.6813	-3.968473e-05	-25.284637	0.037257914	1.2089653e-05	10.499574422836304
5	0.0	0.0	0.0	0.0	1000.0	-0.67689484	29.658613	103.86172	-112.48889	24000	0.0038648068	929.2355	-7.97566e-05	-25.779968	0.040491186	5.4300726e-05	12.50479531288147
6	0.0	0.0	0.0	0.0	1000.0	-1.4900334	28.886904	101.0134	-131.52638	28000	-0.0043438957	861.6201	-1.47372775e-05	-24.783676	0.038045175	-1.6025406e-05	14.507590293884277
7	0.0	0.0	0.0	0.0	1000.0	-0.73762906	28.333	86.50932	-123.84365	32000	0.0029876165	793.35565	-7.198754e-05	-24.337936	0.037506796	-2.4275221e-05	16.501442432403564
8	0.0	0.0	0.0	0.0	1000.0	-1.7278786	28.378984	97.36149	-122.18832	36000	0.0002117937	803.1931	-4.2555388e-05	-24.62854	0.033228762	-1.8492225e-05	18.511730432510376
9	0.0	0.0	0.0	0.0	1000.0	-1.8634517	27.720398	91.264824	-107.687355	40000	-0.00057436724	779.51294	-7.3029514e-05	-25.20517	0.037622705	-3.8150552e-05	20.828510761260986
