Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	56.545742	31.680655	154.22147	-78.692474	4000	0.0	3655.7778	0.0	-214.70923	0.0	0.0	2.283186912536621
1	0.0	0.0	0.0	0.0	1000.0	54.068832	31.76983	152.23796	-81.04725	8000	0.0	3425.798	0.0	-213.31268	0.0	0.0	4.140198707580566
2	0.0	0.0	0.0	0.0	1000.0	51.580826	32.3127	150.15625	-83.46787	12000	0.0	3214.5723	0.0	-201.02545	0.0	0.0	5.976006031036377
3	0.0	0.0	0.0	0.0	1000.0	49.402008	32.02415	148.06584	-84.04851	16000	0.0	2992.439	0.0	-191.61206	0.0	0.0	7.827342748641968
4	0.0	0.0	0.0	0.0	1000.0	47.149147	32.370018	140.4439	-88.16523	20000	0.0	2827.8096	0.0	-186.51605	0.0	0.0	9.726789474487305
5	0.0	0.0	0.0	0.0	1000.0	45.066307	31.894714	143.79893	-88.813705	24000	0.0	2766.2285	0.0	-205.18939	0.0	0.0	11.556503295898438
6	0.0	0.0	0.0	0.0	1000.0	41.910873	32.5219	141.4483	-91.39673	28000	0.0	2502.897	0.0	-179.75684	0.0	0.0	13.38450312614441
7	0.0	0.0	0.0	0.0	1000.0	39.525623	31.912111	139.18425	-95.49736	32000	0.0	2390.3003	0.0	-181.96063	0.0	0.0	15.21291995048523
8	0.0	0.0	0.0	0.0	1000.0	36.666924	32.033	136.84277	-96.2185	36000	0.0	2160.0796	0.0	-154.00793	0.0	0.0	17.038347244262695
9	0.0	0.0	0.0	0.0	1000.0	34.65048	32.39313	134.63603	-100.11227	40000	0.0	2028.8401	0.0	-138.76968	0.0	0.0	19.114653825759888
