Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	0.2837121	0.5793462	2.0242836	-1.7086754	4000	-0.0008975938	0.41764733	-4.7131907e-06	-0.014713064	1.8287616	-9.302348e-07	2.1590425968170166
1	0.0	0.0	0.0	0.0	1000.0	0.26429126	0.5838172	2.1324728	-1.6245488	8000	-0.0016708462	0.3983013	-4.0928135e-06	-0.017317131	1.8319076	-2.8751788e-07	3.909581422805786
2	0.0	0.0	0.0	0.0	1000.0	0.23113742	0.5753052	1.9560944	-1.7289531	12000	0.025333118	0.39740726	-4.196365e-06	-0.015711367	1.8220172	-1.3841538e-06	5.690980911254883
3	0.0	0.0	0.0	0.0	1000.0	0.1897999	0.57821065	1.9092375	-1.9128497	16000	0.02082344	0.40636337	-8.060597e-06	-0.012106143	1.8275027	1.1934638e-06	7.498182773590088
4	0.0	0.0	0.0	0.0	1000.0	0.20143698	0.57324654	1.9059469	-1.5984077	20000	0.0066911727	0.37079048	-4.8922375e-06	-0.016040072	1.8467079	2.1070235e-08	9.255658149719238
5	0.0	0.0	0.0	0.0	1000.0	0.15964133	0.5609403	2.1432297	-1.7876638	24000	0.0025229705	0.35057497	-4.700385e-06	-0.011183634	1.861856	6.8868695e-07	11.027240514755249
6	0.0	0.0	0.0	0.0	1000.0	0.14345376	0.5571105	1.9498678	-1.6416826	28000	-0.0033078194	0.3462637	-5.8556907e-06	-0.009844601	1.846404	-2.2888185e-06	12.79934573173523
7	0.0	0.0	0.0	0.0	1000.0	0.09996072	0.544467	1.8164216	-1.6484617	32000	-0.01719436	0.31672114	-6.353017e-06	-0.011679523	1.8294716	-1.3785063e-06	14.615339994430542
8	0.0	0.0	0.0	0.0	1000.0	0.08431921	0.5497748	1.7859896	-1.5265143	36000	-0.010070924	0.33182406	-5.003996e-06	-0.013473019	1.8510921	-1.3621003e-06	16.46399211883545
9	0.0	0.0	0.0	0.0	1000.0	0.07454068	0.54471904	1.824236	-1.8161265	40000	-0.0021486897	0.31327504	-3.9002625e-06	-0.012911335	1.8540995	4.3945016e-07	18.508376121520996
