Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	7.0	2.345208	9.0	3.0	1000.0	3.2961469	63.818527	267.18558	-191.32462	4000	-0.009584918	4162.6255	-0.0035240927	-3344.6636	0.017482258	0.0033823005	1.9157040119171143
1	6.5	4.1533117	11.0	1.0	1000.0	5.7595053	23.676477	93.663704	-91.62336	8000	-0.0060447985	608.75134	-0.0056422953	-276.71387	0.015972145	0.006889905	3.441793441772461
2	2.5	1.8027756	5.0	0.0	1000.0	-0.22482367	20.521301	98.03598	-101.40085	12000	-0.00018067658	430.3418	-0.0056015207	-161.85735	0.017089108	0.0046318574	4.9948883056640625
3	4.25	6.219928	15.0	0.0	1000.0	-0.960474	14.536546	69.21989	-65.99736	16000	-0.0012863454	248.98361	-0.00079772045	-74.82524	0.008665408	0.0002740737	6.55066180229187
4	4.25	1.7853571	7.0	2.0	1000.0	1.6451201	14.364212	75.71803	-70.735535	20000	-0.0015151043	202.79922	-0.002021107	-47.430553	0.00992173	0.00393074	8.182668447494507
5	2.25	1.6393596	5.0	1.0	1000.0	4.928466	13.698509	73.336205	-45.51672	24000	0.0024293144	215.71303	-0.0029482627	-72.396194	0.01564171	0.0061059548	9.720037937164307
6	3.75	1.299038	6.0	3.0	1000.0	-1.768426	10.523532	52.361862	-67.81365	28000	0.0024099709	116.0407	-0.0009341304	-26.933867	0.010615418	0.00018999298	11.237438678741455
7	4.25	2.2776084	8.0	2.0	1000.0	-0.6050272	11.290435	49.301086	-70.01061	32000	-0.0023778148	138.085	-0.0024315123	-32.228127	0.013220632	0.0016631415	12.791311740875244
8	4.0	2.9154758	8.0	0.0	1000.0	2.8009896	10.2022085	54.485645	-42.322323	36000	0.00034075696	114.83771	-0.0025264057	-24.551409	0.015442248	0.005182217	14.335836410522461
9	8.25	4.145781	15.0	4.0	1000.0	0.078139335	9.205091	49.617054	-40.121746	40000	-0.0022636564	92.42768	-0.0014003892	-16.102737	0.013024947	0.00038261205	16.005154371261597
