Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	7.5	4.031129	12.0	1.0	1000.0	-0.8566972	2.5888975	8.0405655	-9.702389	4000	-0.01970858	9.246077	-0.0018904794	-5.5573483	0.36465302	0.00047940738	1.8336422443389893
1	4.25	3.0310888	8.0	0.0	1000.0	0.31667382	1.9053328	7.976018	-6.3616047	8000	0.015965162	4.9400897	-0.0026987381	-1.6130886	0.29229224	0.0010696696	3.3590447902679443
2	4.75	4.43706	12.0	0.0	1000.0	0.28714982	1.5700967	6.3439803	-6.1224475	12000	-0.012335222	3.3066745	-0.0012101138	-0.77178276	0.33396393	-0.00015540891	4.8965067863464355
3	1.5	1.5	4.0	0.0	1000.0	0.5322386	1.4120501	5.5591016	-4.811376	16000	-0.040546987	3.1329987	-0.0042276843	-0.7317941	0.38525552	0.0013995145	6.42950963973999
4	4.25	3.344772	10.0	2.0	1000.0	0.34426984	1.4037825	5.734157	-6.1476264	20000	-0.02177239	3.6500766	-0.0024515497	-0.5107192	0.31275338	0.0006022076	8.006647109985352
5	1.0	1.0	2.0	0.0	1000.0	0.26181433	1.4624914	6.2383256	-6.419493	24000	0.004063126	2.9143023	-0.002749539	-0.6598216	0.36877912	0.0010882693	9.559611558914185
6	4.5	1.118034	6.0	3.0	1000.0	0.0945719	1.2967533	5.0270762	-5.6757197	28000	-0.0058609964	2.5918167	-0.0020403285	-0.49237776	0.3457765	-7.326952e-05	11.12394118309021
7	3.0	1.4142135	5.0	1.0	1000.0	0.39201057	1.2228135	6.6757865	-6.02527	32000	-0.030343866	2.7336025	-0.0018004386	-0.39432347	0.29940557	0.00014983401	12.683345794677734
8	5.5	2.0615528	8.0	3.0	1000.0	0.2633549	1.1442914	4.631522	-5.024497	36000	0.0032885335	2.2336364	-0.0021712906	-0.31545022	0.310414	0.0009292697	14.242717504501343
9	3.5	1.6583124	6.0	2.0	1000.0	0.5724625	1.1024277	5.453855	-4.337239	40000	-0.024657585	2.199246	-0.002699623	-0.37950826	0.32093123	0.00062729383	15.95422101020813
