Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	2.5	1.5	4.0	1.0	1000.0	9.273149	57.534607	212.22865	-187.76965	4000	-0.00204972	3503.729	-0.0012883743	-2809.5374	0.013914653	0.0011026124	1.835003137588501
1	3.75	1.47902	6.0	2.0	1000.0	-5.8631625	28.202297	109.07566	-124.3804	8000	-0.00617347	841.61285	-0.0025291175	-430.31006	0.017487658	0.0036528753	3.3543810844421387
2	4.25	3.49106	10.0	1.0	1000.0	-0.6335686	19.038528	82.72232	-73.68967	12000	-0.0007333622	381.40656	-0.0013973534	-140.61363	0.013263427	0.00023542777	4.924049139022827
3	2.25	2.4874685	6.0	0.0	1000.0	2.4554913	16.957964	76.8775	-82.62399	16000	-0.00038455985	338.2834	-0.0043516713	-109.58104	0.017521776	0.0044386196	6.485783338546753
4	2.75	2.58602	7.0	0.0	1000.0	-2.682224	12.458926	51.86652	-52.88428	20000	-0.0025668084	173.54141	-0.0022389726	-58.979122	0.0118035115	0.0031011768	8.068434476852417
5	7.25	1.7853571	10.0	5.0	1000.0	0.75327957	12.69481	67.89458	-48.77352	24000	0.0009108287	176.01778	-0.006038526	-35.561806	0.017496333	0.009033341	9.654114484786987
6	5.5	4.031129	10.0	1.0	1000.0	1.4921877	10.768817	56.10104	-45.359615	28000	-0.000501087	117.38554	-0.0008563816	-22.534906	0.0104120085	3.2572047e-05	11.24782395362854
7	3.25	2.4874685	7.0	0.0	1000.0	-0.43044478	9.356353	62.550682	-51.680096	32000	-0.0020116842	93.320114	-0.0060106916	-18.809177	0.009562521	0.0059437575	12.827179908752441
8	5.0	2.1213202	8.0	3.0	1000.0	0.88345444	10.549858	59.435295	-47.121048	36000	0.00039135007	112.81376	-0.0037201	-23.969572	0.016300732	0.0026311183	14.386428117752075
9	3.0	3.0	8.0	0.0	1000.0	-1.436135	9.046273	42.304092	-61.754154	40000	-0.0024848615	103.98134	-0.002689289	-21.324598	0.010622652	0.0028309373	16.090950965881348
