Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	0.5116079	0.680664	3.5071752	-2.031324	4000	0.037841536	0.6530181	-0.00045917113	-0.39344865	1.6402042	-0.00021885525	1.8120596408843994
1	0.0	0.0	0.0	0.0	1000.0	0.113341	0.48388568	2.0446796	-1.9831476	8000	0.006940391	0.25299418	-0.00030920934	-0.07520351	1.6201499	0.00011984514	3.347592353820801
2	0.0	0.0	0.0	0.0	1000.0	0.034459848	0.44644856	1.698215	-1.7806369	12000	-0.014795153	0.20185378	-0.0003187931	-0.051075194	1.6176469	5.4191987e-05	4.92797589302063
3	0.0	0.0	0.0	0.0	1000.0	0.024551425	0.38656455	1.8976581	-1.2785192	16000	0.00089904526	0.15497619	-0.00029542937	-0.027153146	1.6275098	0.000104814884	6.495402097702026
4	0.0	0.0	0.0	0.0	1000.0	0.038600035	0.35585016	1.7738277	-1.1504482	20000	0.027990066	0.1342138	-0.0010682233	-0.030078312	1.6126415	0.00039025658	8.050249576568604
5	0.0	0.0	0.0	0.0	1000.0	-0.024675764	0.32876727	1.2558419	-1.2614471	24000	0.019192405	0.1189708	-0.0002806387	-0.015232021	1.6260853	-2.742012e-05	9.621702432632446
6	0.0	0.0	0.0	0.0	1000.0	0.03409999	0.31584528	1.302209	-1.2969006	28000	-0.004776985	0.1031155	-0.00053367426	-0.01332929	1.6312609	-2.2660533e-06	11.171719312667847
7	0.0	0.0	0.0	0.0	1000.0	0.01855432	0.31375474	1.4991909	-1.3120382	32000	0.0027081594	0.100146115	-0.00079073675	-0.0168503	1.6419189	-5.9278416e-05	12.701470136642456
8	0.0	0.0	0.0	0.0	1000.0	-0.0063095666	0.293329	1.3049595	-1.0397508	36000	-0.010535181	0.08745096	-0.0005661105	-0.013321357	1.6315856	1.3655823e-05	14.260944366455078
9	0.0	0.0	0.0	0.0	1000.0	0.014937811	0.2782323	1.0164486	-1.1597619	40000	-0.020049818	0.07985338	-0.00054353056	-0.014984723	1.6336437	0.00017799821	15.91766881942749
