Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.24167621	0.09540918	0.054749124	-0.58932394	4000	-0.008105602	0.059432954	-1.163315e-05	-0.050950084	1.6043396	-3.4280718e-06	2.1276981830596924
1	0.0	0.0	0.0	0.0	1000.0	-0.026541011	0.07780986	0.20217235	-0.38626796	8000	1.45845115e-05	0.007436538	-1.04422215e-05	-0.0017611253	1.624649	-4.1979256e-06	3.9010093212127686
2	0.0	0.0	0.0	0.0	1000.0	0.00023597073	0.07520419	0.23337741	-0.34859666	12000	0.013704043	0.0060420404	-1.144025e-05	-0.00078071735	1.6220602	1.8833427e-06	5.676467418670654
3	0.0	0.0	0.0	0.0	1000.0	0.0026834353	0.06712327	0.20813093	-0.28626904	16000	0.0152183175	0.004724528	-1.2674136e-05	-0.0005797549	1.5963047	3.2651128e-06	7.468588590621948
4	0.0	0.0	0.0	0.0	1000.0	-0.0081255715	0.06043183	0.18150435	-0.27456126	20000	-0.042913105	0.0037580226	-3.4605153e-05	-0.00042698428	1.6152796	6.6934226e-06	9.251654863357544
5	0.0	0.0	0.0	0.0	1000.0	0.0011326395	0.06054723	0.22032322	-0.26171347	24000	0.0026057814	0.0036782643	-1.2656907e-05	-0.00040278514	1.6304137	-1.6219906e-07	11.044156074523926
6	0.0	0.0	0.0	0.0	1000.0	0.010111823	0.05767422	0.20561889	-0.22983569	28000	-0.0035524648	0.0037191254	-1.5588943e-05	-0.0003687156	1.6118468	2.3358612e-06	12.835724830627441
7	0.0	0.0	0.0	0.0	1000.0	0.0028523016	0.053689506	0.21442635	-0.24041937	32000	-0.003393692	0.0029781638	-1.1593569e-05	-0.0002444323	1.6208475	-2.4345966e-06	14.594125986099243
8	0.0	0.0	0.0	0.0	1000.0	0.00148566	0.05497395	0.22645545	-0.21803956	36000	0.0018356768	0.003297917	-1.6736798e-05	-0.0002891955	1.6052005	1.1648089e-06	16.362148761749268
9	0.0	0.0	0.0	0.0	1000.0	0.0032676612	0.052575413	0.19723952	-0.26093227	40000	-0.0010081157	0.002795462	-1.1162367e-05	-0.00020266761	1.6229143	-6.8456084e-06	18.33055019378662
