Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.3970606	0.37171775	1.0245632	-1.6342839	4000	-0.005931058	0.28706568	-0.0027872226	-0.2814865	1.9354249	0.002736973	1.918241024017334
1	0.0	0.0	0.0	0.0	1000.0	-0.012472583	0.05215541	0.31882972	-0.36680594	8000	-0.01866705	0.0028483	-0.0014573878	-0.002535888	1.9237963	0.0012721431	3.456305742263794
2	0.0	0.0	0.0	0.0	1000.0	-0.0023020615	0.01733785	0.33657503	-0.3293793	12000	-0.013486164	0.0003052256	-0.0011683446	-0.00010732871	1.9228342	-0.00018745668	4.996307849884033
3	0.0	0.0	0.0	0.0	1000.0	-0.00021925507	0.02277376	0.3384278	-0.32545176	16000	0.0006185031	0.00051872653	-0.0008436335	-0.00022248739	1.920274	0.00022552753	6.551388263702393
4	0.0	0.0	0.0	0.0	1000.0	0.00026988416	0.01632517	0.33601147	-0.2824998	20000	9.5447525e-05	0.0002667158	-0.000955156	-0.000152937	1.9125806	0.00019338058	8.10508680343628
5	0.0	0.0	0.0	0.0	1000.0	-0.0003493261	0.01172272	0.33486778	-0.2896006	24000	-0.013919719	0.00013756756	-0.0007954915	-4.4332184e-05	1.9172411	0.00039444165	9.629353284835815
6	0.0	0.0	0.0	0.0	1000.0	4.3757333e-05	0.011692795	0.33452502	-0.3079441	28000	0.006825581	0.00013674807	-0.00026837597	-6.0541624e-05	1.9211135	-0.00024213576	11.220741987228394
7	0.0	0.0	0.0	0.0	1000.0	-0.00030659736	0.010398325	0.33367082	-0.27401146	32000	0.020987235	0.00010821092	-9.6135016e-05	-8.012744e-05	1.9009001	0.000115301606	12.75795865058899
8	0.0	0.0	0.0	0.0	1000.0	6.285744e-05	0.009152825	0.32643294	-0.2811832	36000	-0.0071810433	8.37783e-05	-0.0007586726	-2.7150161e-05	1.9113765	0.00038312888	14.308680534362793
9	0.0	0.0	0.0	0.0	1000.0	-0.00044632214	0.011850741	0.29858735	-0.3234843	40000	-0.019969415	0.00014061469	-0.00085857126	-4.9993014e-05	1.903583	-0.00043255102	16.045491456985474
