Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	3.25	2.2776084	7.0	1.0	1000.0	1.8219688	57.381756	206.96486	-176.00873	4000	-0.00066251855	3448.4465	-0.035003357	-3266.951	0.01153421	0.08534797	1.8973371982574463
1	9.0	4.0620193	14.0	3.0	1000.0	2.353001	12.166767	43.615063	-61.200405	8000	-0.00086644164	148.16763	-0.01763115	-128.4578	0.012456675	0.06709992	3.476163625717163
2	2.0	1.8708287	5.0	0.0	1000.0	1.1992999	5.2827806	27.201662	-28.702795	12000	-0.00041640084	29.94857	-0.015479705	-21.95518	0.012925932	0.039578803	5.064165115356445
3	6.75	4.6029882	11.0	0.0	1000.0	-0.4135077	2.9735787	15.921417	-23.198317	16000	0.0014350172	10.64883	-0.014147447	-7.3349237	0.014746439	0.048496164	6.657294273376465
4	3.25	2.4874685	7.0	0.0	1000.0	0.8959321	1.8208764	18.412142	-18.4593	20000	0.004481219	3.7489552	-0.00022986962	-2.1383295	0.0061367066	0.008820624	8.214356660842896
5	1.75	0.8291562	3.0	1.0	1000.0	0.47359398	1.356036	20.138552	-13.755062	24000	-0.0045299837	2.1476192	-0.011082863	-0.9623234	0.010607028	0.015859641	9.828842401504517
6	7.75	5.1173725	16.0	2.0	1000.0	-0.11223815	1.6912066	16.547607	-19.101559	28000	0.0007633897	4.170479	-0.003946024	-1.9032593	0.0067961295	0.019127958	11.472505331039429
7	4.25	2.384848	7.0	1.0	1000.0	0.9642135	1.3355232	14.010169	-14.100372	32000	-0.0019080964	2.5262518	-0.0015749994	-1.3479991	0.0062852534	0.011046781	13.165014505386353
8	4.5	0.8660254	5.0	3.0	1000.0	0.25025624	1.4265401	29.347254	-14.110902	36000	-0.0013150545	2.3663104	0.000340324	-0.6038954	0.009120524	0.004338177	14.836190938949585
9	8.0	3.535534	14.0	5.0	1000.0	0.28872845	1.0647937	12.162015	-10.833659	40000	0.0002530517	2.2826815	-0.00022212073	-0.66027284	0.0049573984	0.0005535996	16.678133726119995
