Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	56.74507	32.027733	155.4425	-79.116745	4000	0.0	3796.379	0.0	-3682.4731	0.0	0.0	2.2177891731262207
1	0.0	0.0	0.0	0.0	1000.0	5.518964	6.197109	36.086506	-23.43014	8000	0.0	49.855415	0.0	-33.52447	0.0	0.0	4.03286337852478
2	0.0	0.0	0.0	0.0	1000.0	1.7121286	3.7775738	19.07838	-12.576904	12000	0.0	11.668041	0.0	-5.747779	0.0	0.0	5.825669527053833
3	0.0	0.0	0.0	0.0	1000.0	0.8109285	2.7345393	12.807259	-11.021511	16000	0.0	6.999387	0.0	-2.6588264	0.0	0.0	7.604804277420044
4	0.0	0.0	0.0	0.0	1000.0	0.46770018	2.0301378	10.794692	-8.867145	20000	0.0	3.7377439	0.0	-1.1006906	0.0	0.0	9.416029214859009
5	0.0	0.0	0.0	0.0	1000.0	0.49738362	1.7717373	8.884538	-6.2957706	24000	0.0	2.9412336	0.0	-0.8136102	0.0	0.0	11.245712518692017
6	0.0	0.0	0.0	0.0	1000.0	0.39092863	1.5308874	6.553001	-6.552994	28000	0.0	2.0483618	0.0	-0.6063328	0.0	0.0	13.056627988815308
7	0.0	0.0	0.0	0.0	1000.0	0.24843472	1.3035607	6.4560723	-5.8039813	32000	0.0	1.8770893	0.0	-0.69207394	0.0	0.0	14.903841257095337
8	0.0	0.0	0.0	0.0	1000.0	-0.023889596	1.0511541	4.787534	-5.0445547	36000	0.0	1.2611612	0.0	-0.29119343	0.0	0.0	16.741364240646362
9	0.0	0.0	0.0	0.0	1000.0	0.08519119	0.9891609	4.927818	-5.0952077	40000	0.0	1.0691124	0.0	-0.20770691	0.0	0.0	18.78979778289795
