Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	0.29877275	0.5748148	2.0792625	-1.5234135	4000	0.013376936	0.43956324	-0.005748211	-0.4244384	1.8409622	0.006824631	2.2763795852661133
1	0.0	0.0	0.0	0.0	1000.0	-0.020489622	0.056691937	0.34113443	-0.36971804	8000	0.0021498546	0.0035908814	-0.0039981753	-0.002549569	1.8778595	0.0041054017	4.059462308883667
2	0.0	0.0	0.0	0.0	1000.0	-0.0027662732	0.034187432	0.3135153	-0.36125582	12000	0.0011968818	0.0012095757	-0.0040309415	-0.0006752125	1.8795187	0.0036228322	5.864553451538086
3	0.0	0.0	0.0	0.0	1000.0	-0.0019707028	0.024589662	0.20771137	-0.28136808	16000	-0.0015455466	0.00060781016	-0.0034849658	-0.00031432952	1.8633666	0.003620565	7.656922101974487
4	0.0	0.0	0.0	0.0	1000.0	-7.367826e-05	0.019735605	0.29639792	-0.2450644	20000	0.0061183106	0.00039719822	-0.002047699	-0.00019869876	1.8919479	0.0022080936	9.438048601150513
5	0.0	0.0	0.0	0.0	1000.0	-0.0014650289	0.016913742	0.22019815	-0.31839466	24000	0.007152211	0.0003526152	-0.001348652	-0.00011821023	1.8986187	0.00194275	11.235785245895386
6	0.0	0.0	0.0	0.0	1000.0	-0.0014252048	0.015370181	0.1429087	-0.4549894	28000	-0.008680381	0.00023810608	-0.0028082286	-8.591007e-05	1.8982434	0.0018163621	13.01734447479248
7	0.0	0.0	0.0	0.0	1000.0	-0.0004764066	0.015328892	0.2845156	-0.2952867	32000	0.0054206136	0.00023499713	-0.001124348	-8.868126e-05	1.8823042	0.0009945082	14.781525373458862
8	0.0	0.0	0.0	0.0	1000.0	-0.00015467784	0.011525152	0.31359562	-0.26559904	36000	0.009396747	0.00034288896	-0.0021598544	-9.090343e-05	1.9096494	-0.00033490837	16.58136487007141
9	0.0	0.0	0.0	0.0	1000.0	-0.0029585215	0.00987485	0.17685954	-0.18202668	40000	-0.008881843	0.0001046657	-0.000930222	-6.28008e-05	1.8902509	-0.00032594276	18.617398500442505
