Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-73.4459	40.303577	49.649975	-245.02328	4000	-0.0001505946	6225.1807	-0.0032236031	-5492.0215	0.0038178726	1.9560645	1.9639229774475098
1	0.0	0.0	0.0	0.0	1000.0	-9.409339	24.589512	85.27191	-117.080315	8000	-3.88287e-05	674.4464	-6.949145e-05	-303.35638	2.1915722	-1.9759245e-06	3.5674078464508057
2	0.0	0.0	0.0	0.0	1000.0	-0.9222589	18.912216	71.27453	-82.21441	12000	0.00013834052	389.52087	-0.00012794882	-119.38275	2.193733	-3.819194e-05	5.177703380584717
3	0.0	0.0	0.0	0.0	1000.0	-1.8011158	15.652575	56.656776	-88.165665	16000	0.001371502	263.73395	-0.00026066462	-68.824554	2.1928446	0.0001699357	6.792314767837524
4	0.0	0.0	0.0	0.0	1000.0	-0.10460066	13.404492	50.97296	-61.925663	20000	1.2790784e-05	186.37921	-7.279031e-05	-44.812176	2.1907845	8.446706e-05	8.415225267410278
5	0.0	0.0	0.0	0.0	1000.0	-0.05854596	11.551448	39.913067	-52.038654	24000	-4.1099265e-05	140.04633	-0.00010888977	-29.417515	2.1941166	2.8889062e-05	10.024816036224365
6	0.0	0.0	0.0	0.0	1000.0	-0.34724048	10.359019	50.89429	-49.699936	28000	-0.0005521327	111.40465	-6.830599e-05	-22.447472	2.1942353	-3.0804964e-05	11.679165124893188
7	0.0	0.0	0.0	0.0	1000.0	-1.3225993	9.129517	36.26025	-49.708813	32000	-0.00020879135	114.822296	-7.275329e-05	-20.39117	2.194086	1.2337834e-05	13.303244829177856
8	0.0	0.0	0.0	0.0	1000.0	0.4938186	8.106596	37.518353	-40.354958	36000	0.0005973168	67.862144	-0.000236095	-11.506575	2.1930246	-2.5582136e-05	14.953735113143921
9	0.0	0.0	0.0	0.0	1000.0	-0.3943014	7.775049	35.14359	-31.84584	40000	-0.00010260381	72.57179	-8.542207e-05	-11.99929	2.1942687	6.391785e-05	16.716493368148804
