Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	4.25	2.384848	7.0	1.0	1000.0	-1.3194706	2.500689	6.9749017	-8.802221	4000	-0.017484942	10.765102	0.017555289	-8.575225	0.38429603	1.8213058	1.8867595195770264
1	0.0	0.0	0.0	0.0	1000.0	0.10878621	1.1549933	4.800945	-5.410251	8000	0.00014077313	1.4170673	-1.3783574e-05	-1.0080825	2.1972017	1.5258593e-08	3.456777572631836
2	0.0	0.0	0.0	0.0	1000.0	0.0005014944	0.61691505	3.5705702	-3.296494	12000	-2.8933398e-05	0.38312873	-5.4264674e-06	-0.11735413	2.1973124	3.5498142e-06	5.004517555236816
3	0.0	0.0	0.0	0.0	1000.0	0.01099302	0.48754036	2.5130262	-3.1037164	16000	0.00010040961	0.24905017	-7.83056e-06	-0.076059915	2.1973176	-5.2720907e-06	6.555963516235352
4	0.0	0.0	0.0	0.0	1000.0	0.022516275	0.41925287	3.546499	-3.351996	20000	2.2295862e-05	0.17701723	-5.357433e-06	-0.082624316	2.1972017	5.219281e-06	8.121133804321289
5	0.0	0.0	0.0	0.0	1000.0	0.004497489	0.33834013	2.8244457	-3.3635297	24000	4.0922314e-06	0.12124496	-8.395873e-06	-0.05837758	2.197213	-1.6297698e-06	9.70815372467041
6	0.0	0.0	0.0	0.0	1000.0	0.0011176092	0.2631759	2.4210792	-3.972509	28000	4.182197e-05	0.07252206	-9.503216e-06	-0.025751755	2.1972241	1.0619164e-06	11.297518253326416
7	0.0	0.0	0.0	0.0	1000.0	0.011041857	0.21599947	1.813353	-1.9910655	32000	6.548129e-05	0.051917966	-2.522301e-05	-0.013590631	2.1971455	-4.5031907e-06	12.870607614517212
8	0.0	0.0	0.0	0.0	1000.0	-0.016853759	0.1976759	2.2505383	-2.9228973	36000	1.0674354e-05	0.039317634	-4.2475294e-06	-0.0152798705	2.1972146	1.3765692e-06	14.462864637374878
9	0.0	0.0	0.0	0.0	1000.0	-0.0036314393	0.17866787	1.776601	-1.9693183	40000	-6.906898e-05	0.031927995	-1.1670796e-05	-0.011720203	2.1971471	5.860925e-07	16.21333074569702
